呾楊靡備,珆尨靡備,翹秶坰竘,隙溫坰竘,翹秶偌瑩ID,隙溫偌瑩ID,翹秶偌瑩奀潔(ms),隙溫偌瑩奀潔(ms),橈勤晊奀(ms),呾楊す歙晊奀(ms),眈勤晊奀(ms)
pid_11-21-秞論聆彸,pid,0,0,28,28,3342.3,3352.3,10,9.410045662100458,0.5899543378995418
pid_11-21-秞論聆彸,pid,1,1,16,16,3352.7,3363.2,10.5,9.410045662100458,1.0899543378995418
pid_11-21-秞論聆彸,pid,2,2,18,18,3596.7,3607.1,10.4,9.410045662100458,0.9899543378995421
pid_11-21-秞論聆彸,pid,3,3,30,30,3600.5,3610.1,9.6,9.410045662100458,0.18995433789954141
pid_11-21-秞論聆彸,pid,4,4,20,20,3820.5,3831.7,11.2,9.410045662100458,1.789954337899541
pid_11-21-秞論聆彸,pid,5,5,32,32,3829.9,3838.9,9,9.410045662100458,-0.410045662
pid_11-21-秞論聆彸,pid,6,6,21,21,4002.7,4011.5,8.8,9.410045662100458,-0.610045662
pid_11-21-秞論聆彸,pid,7,7,33,33,4023.7,4032.5,8.8,9.410045662100458,-0.610045662
pid_11-21-秞論聆彸,pid,8,8,35,35,4195.7,4205.7,10,9.410045662100458,0.5899543378995418
pid_11-21-秞論聆彸,pid,9,9,23,23,4214.3,4223.3,9,9.410045662100458,-0.410045662
pid_11-21-秞論聆彸,pid,10,10,25,25,4387.9,4396.7,8.8,9.410045662100458,-0.610045662
pid_11-21-秞論聆彸,pid,11,11,37,37,4392.9,4402.7,9.8,9.410045662100458,0.3899543378995425
pid_11-21-秞論聆彸,pid,12,12,27,27,4597.7,4607.7,10,9.410045662100458,0.5899543378995418
pid_11-21-秞論聆彸,pid,13,13,39,39,4602.3,4611.7,9.4,9.410045662100458,-0.010045662
pid_11-21-秞論聆彸,pid,14,14,28,28,4779.3,4789.3,10,9.410045662100458,0.5899543378995418
pid_11-21-秞論聆彸,pid,15,15,40,40,4798.1,4807.7,9.6,9.410045662100458,0.18995433789954141
pid_11-21-秞論聆彸,pid,16,16,42,42,4982.8,4991.9,9.1,9.410045662100458,-0.310045662
pid_11-21-秞論聆彸,pid,17,17,30,30,4989.9,4999.5,9.6,9.410045662100458,0.18995433789954141
pid_11-21-秞論聆彸,pid,18,18,32,32,5179.3,5190.9,11.6,9.410045662100458,2.1899543378995414
pid_11-21-秞論聆彸,pid,19,19,44,44,5185.4,5193.9,8.5,9.410045662100458,-0.910045662
pid_11-21-秞論聆彸,pid,20,20,33,33,5372.9,5381.7,8.8,9.410045662100458,-0.610045662
pid_11-21-秞論聆彸,pid,21,21,45,45,5377.4,5386.3,8.9,9.410045662100458,-0.510045662
pid_11-21-秞論聆彸,pid,22,22,35,35,5552.5,5563.5,11,9.410045662100458,1.5899543378995418
pid_11-21-秞論聆彸,pid,23,23,47,47,5555.8,5564.7,8.9,9.410045662100458,-0.510045662
pid_11-21-秞論聆彸,pid,24,24,37,37,5733.1,5742.9,9.8,9.410045662100458,0.3899543378995425
pid_11-21-秞論聆彸,pid,25,25,49,49,5740,5749.9,9.9,9.410045662100458,0.4899543378995421
pid_11-21-秞論聆彸,pid,26,26,39,39,5897.5,5907.7,10.2,9.410045662100458,0.7899543378995411
pid_11-21-秞論聆彸,pid,27,27,51,51,5920.8,5931.1,10.3,9.410045662100458,0.8899543378995425
pid_11-21-秞論聆彸,pid,28,28,40,40,6091.5,6101.5,10,9.410045662100458,0.5899543378995418
pid_11-21-秞論聆彸,pid,29,29,52,52,6106.2,6116.1,9.9,9.410045662100458,0.4899543378995421
pid_11-21-秞論聆彸,pid,30,30,39,39,6273.1,6283.5,10.4,9.410045662100458,0.9899543378995421
pid_11-21-秞論聆彸,pid,31,31,54,54,6277,6285.7,8.7,9.410045662100458,-0.710045662
pid_11-21-秞論聆彸,pid,32,32,37,37,6456.1,6465.9,9.8,9.410045662100458,0.3899543378995425
