呾楊靡備,珆尨靡備,翹秶坰竘,隙溫坰竘,翹秶偌瑩ID,隙溫偌瑩ID,翹秶偌瑩奀潔(ms),隙溫偌瑩奀潔(ms),橈勤晊奀(ms),呾楊す歙晊奀(ms),眈勤晊奀(ms)
smc_11-21-秞論聆彸smc,smc,0,0,28,28,3342.3,3357.3,15,14.653982300884946,0.34601769911505365
smc_11-21-秞論聆彸smc,smc,1,1,16,16,3352.7,3371.5,18.8,14.653982300884946,4.146017699115054
smc_11-21-秞論聆彸smc,smc,2,2,18,18,3596.7,3614.1,17.4,14.653982300884946,2.7460176991150522
smc_11-21-秞論聆彸smc,smc,3,3,30,30,3600.5,3616.3,15.8,14.653982300884946,1.1460176991150544
smc_11-21-秞論聆彸smc,smc,4,4,20,20,3820.5,3839.3,18.8,14.653982300884946,4.146017699115054
smc_11-21-秞論聆彸smc,smc,5,5,32,32,3829.9,3843.1,13.2,14.653982300884946,-1.453982301
smc_11-21-秞論聆彸smc,smc,6,6,21,21,4002.7,4016.5,13.8,14.653982300884946,-0.853982301
smc_11-21-秞論聆彸smc,smc,7,7,33,33,4023.7,4038.9,15.2,14.653982300884946,0.5460176991150529
smc_11-21-秞論聆彸smc,smc,8,8,35,35,4195.7,4210.5,14.8,14.653982300884946,0.14601769911505436
smc_11-21-秞論聆彸smc,smc,9,9,23,23,4214.3,4227.3,13,14.653982300884946,-1.653982301
smc_11-21-秞論聆彸smc,smc,10,10,25,25,4387.9,4400.7,12.8,14.653982300884946,-1.853982301
smc_11-21-秞論聆彸smc,smc,11,11,37,37,4392.9,4407.7,14.8,14.653982300884946,0.14601769911505436
smc_11-21-秞論聆彸smc,smc,12,12,27,27,4597.7,4614.1,16.4,14.653982300884946,1.7460176991150522
smc_11-21-秞論聆彸smc,smc,13,13,39,39,4602.3,4621.1,18.8,14.653982300884946,4.146017699115054
smc_11-21-秞論聆彸smc,smc,14,14,28,28,4779.3,4795.3,16,14.653982300884946,1.3460176991150536
smc_11-21-秞論聆彸smc,smc,15,15,40,40,4798.1,4815.1,17,14.653982300884946,2.3460176991150536
smc_11-21-秞論聆彸smc,smc,16,16,42,42,4982.8,4997.6,14.8,14.653982300884946,0.14601769911505436
smc_11-21-秞論聆彸smc,smc,17,17,30,30,4989.9,5005.7,15.8,14.653982300884946,1.1460176991150544
smc_11-21-秞論聆彸smc,smc,18,18,32,32,5179.3,5196.1,16.8,14.653982300884946,2.1460176991150544
smc_11-21-秞論聆彸smc,smc,19,19,44,44,5185.4,5199.4,14,14.653982300884946,-0.653982301
smc_11-21-秞論聆彸smc,smc,20,20,33,33,5372.9,5389.5,16.6,14.653982300884946,1.946017699115055
smc_11-21-秞論聆彸smc,smc,21,21,45,45,5377.4,5392.6,15.2,14.653982300884946,0.5460176991150529
smc_11-21-秞論聆彸smc,smc,22,22,35,35,5552.5,5569.1,16.6,14.653982300884946,1.946017699115055
smc_11-21-秞論聆彸smc,smc,23,23,47,47,5555.8,5570.2,14.4,14.653982300884946,-0.253982301
smc_11-21-秞論聆彸smc,smc,24,24,37,37,5733.1,5747.5,14.4,14.653982300884946,-0.253982301
smc_11-21-秞論聆彸smc,smc,25,25,49,49,5740,5755.6,15.6,14.653982300884946,0.9460176991150533
smc_11-21-秞論聆彸smc,smc,26,26,39,39,5897.5,5912.3,14.8,14.653982300884946,0.14601769911505436
