呾楊靡備,珆尨靡備,翹秶坰竘,隙溫坰竘,翹秶偌瑩ID,隙溫偌瑩ID,翹秶偌瑩奀潔(ms),隙溫偌瑩奀潔(ms),橈勤晊奀(ms),呾楊す歙晊奀(ms),眈勤晊奀(ms)
smc_11-21-秞論聆彸2,smc,0,0,28,28,2853.7,2869.9,16.2,14.70310880829015,1.4968911917098495
smc_11-21-秞論聆彸2,smc,1,1,16,16,2865.6,2882.3,16.7,14.70310880829015,1.9968911917098495
smc_11-21-秞論聆彸2,smc,2,2,29,29,3018.9,3038.3,19.4,14.70310880829015,4.696891191709849
smc_11-21-秞論聆彸2,smc,3,3,17,17,3020.7,3040.1,19.4,14.70310880829015,4.696891191709849
smc_11-21-秞論聆彸2,smc,4,4,18,18,3152.1,3166.1,14,14.70310880829015,-0.703108808
smc_11-21-秞論聆彸2,smc,5,5,30,30,3152.7,3167.6,14.9,14.70310880829015,0.1968911917098506
smc_11-21-秞論聆彸2,smc,6,6,19,19,3269.9,3287.9,18,14.70310880829015,3.2968911917098502
smc_11-21-秞論聆彸2,smc,7,7,31,31,3276.9,3293.9,17,14.70310880829015,2.2968911917098502
smc_11-21-秞論聆彸2,smc,8,9,20,20,3374.9,3396.5,21.6,14.70310880829015,6.896891191709852
smc_11-21-秞論聆彸2,smc,9,8,32,32,3378.7,3395.5,16.8,14.70310880829015,2.096891191709851
smc_11-21-秞論聆彸2,smc,10,10,33,33,3502.1,3516.1,14,14.70310880829015,-0.703108808
smc_11-21-秞論聆彸2,smc,11,11,21,21,3505.5,3517.9,12.4,14.70310880829015,-2.303108808
smc_11-21-秞論聆彸2,smc,12,12,34,34,3612.9,3628.3,15.4,14.70310880829015,0.6968911917098506
smc_11-21-秞論聆彸2,smc,13,13,22,22,3621.1,3635.7,14.6,14.70310880829015,-0.103108808
smc_11-21-秞論聆彸2,smc,14,14,23,23,3650.7,3664.8,14.1,14.70310880829015,-0.603108808
smc_11-21-秞論聆彸2,smc,15,15,35,35,3727.1,3742.9,15.8,14.70310880829015,1.096891191709851
smc_11-21-秞論聆彸2,smc,16,16,24,24,3829.9,3844.7,14.8,14.70310880829015,0.09689119170985094
smc_11-21-秞論聆彸2,smc,17,17,36,36,3841.5,3857.2,15.7,14.70310880829015,0.9968911917098495
smc_11-21-秞論聆彸2,smc,18,18,25,25,3927.5,3940.5,13,14.70310880829015,-1.703108808
smc_11-21-秞論聆彸2,smc,19,19,37,37,3943.3,3958.5,15.2,14.70310880829015,0.4968911917098495
smc_11-21-秞論聆彸2,smc,20,20,26,26,4040.3,4055.3,15,14.70310880829015,0.29689119170985023
smc_11-21-秞論聆彸2,smc,21,21,38,38,4056.5,4070.1,13.6,14.70310880829015,-1.103108808
smc_11-21-秞論聆彸2,smc,22,22,27,27,4137.3,4155.7,18.4,14.70310880829015,3.696891191709849
smc_11-21-秞論聆彸2,smc,23,23,39,39,4140.1,4156.9,16.8,14.70310880829015,2.096891191709851
smc_11-21-秞論聆彸2,smc,24,24,40,40,4261.3,4277.1,15.8,14.70310880829015,1.096891191709851
smc_11-21-秞論聆彸2,smc,25,25,28,28,4267.7,4280.4,12.7,14.70310880829015,-2.003108808
smc_11-21-秞論聆彸2,smc,26,26,41,41,4371.7,4388.1,16.4,14.70310880829015,1.6968911917098488
smc_11-21-秞論聆彸2,smc,27,27,29,29,4378.1,4392.3,14.2,14.70310880829015,-0.503108808
smc_11-21-秞論聆彸2,smc,28,28,42,42,4483.9,4500.1,16.2,14.70310880829015,1.4968911917098495
smc_11-21-秞論聆彸2,smc,29,29,30,30,4493.3,4506.9,13.6,14.70310880829015,-1.103108808
smc_11-21-秞論聆彸2,smc,30,30,31,31,4596.1,4610.5,14.4,14.70310880829015,-0.303108808
smc_11-21-秞論聆彸2,smc,31,31,43,43,4606.1,4623.3,17.2,14.70310880829015,2.4968911917098495
smc_11-21-秞論聆彸2,smc,32,32,32,32,4688.9,4705.1,16.2,14.70310880829015,1.4968911917098495
smc_11-21-秞論聆彸2,smc,33,33,44,44,4694.3,4709.5,15.2,14.70310880829015,0.4968911917098495
smc_11-21-秞論聆彸2,smc,34,34,33,33,4814.5,4827.1,12.6,14.70310880829015,-2.103108808
smc_11-21-秞論聆彸2,smc,35,35,45,45,4814.5,4828.3,13.8,14.70310880829015,-0.903108808
smc_11-21-秞論聆彸2,smc,36,37,46,46,4925.9,4942.9,17,14.70310880829015,2.2968911917098502
smc_11-21-秞論聆彸2,smc,37,36,34,34,4928.9,4941.5,12.6,14.70310880829015,-2.103108808
smc_11-21-秞論聆彸2,smc,38,38,47,47,5039.5,5056.1,16.6,14.70310880829015,1.8968911917098517
smc_11-21-秞論聆彸2,smc,39,39,35,35,5048.9,5062.9,14,14.70310880829015,-0.703108808
smc_11-21-秞論聆彸2,smc,40,40,48,48,5152.3,5164.5,12.2,14.70310880829015,-2.503108808
smc_11-21-秞論聆彸2,smc,41,41,36,36,5155.5,5169.9,14.4,14.70310880829015,-0.303108808
smc_11-21-秞論聆彸2,smc,42,42,49,49,5252.1,5268.7,16.6,14.70310880829015,1.8968911917098517
smc_11-21-秞論聆彸2,smc,43,43,37,37,5263.3,5276.5,13.2,14.70310880829015,-1.503108808
smc_11-21-秞論聆彸2,smc,44,44,38,38,5368.5,5381.3,12.8,14.70310880829015,-1.903108808
smc_11-21-秞論聆彸2,smc,45,45,50,50,5369.1,5383.1,14,14.70310880829015,-0.703108808
smc_11-21-秞論聆彸2,smc,46,46,51,51,5457.3,5473.3,16,14.70310880829015,1.2968911917098502
smc_11-21-秞論聆彸2,smc,47,47,39,39,5463.3,5480.7,17.4,14.70310880829015,2.696891191709849
