算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
pid_11-21-960开头pid,pid,5,5,33,33,2179,2226.9,47.9,26.624727272727267,21.275272727272732
pid_11-21-960开头pid,pid,7,6,30,30,2534.2,2546.3,12.1,26.624727272727267,-14.52472727
pid_11-21-960开头pid,pid,8,7,45,45,2537.3,2575.6,38.3,26.624727272727267,11.67527272727273
pid_11-21-960开头pid,pid,9,9,50,50,2546.9,2576.6,29.7,26.624727272727267,3.0752727272727327
pid_11-21-960开头pid,pid,10,10,38,38,2549.4,2578.9,29.5,26.624727272727267,2.8752727272727334
pid_11-21-960开头pid,pid,12,12,26,26,3146,3161.7,15.7,26.624727272727267,-10.92472727
pid_11-21-960开头pid,pid,13,14,45,45,3151.7,3195.6,43.9,26.624727272727267,17.275272727272732
pid_11-21-960开头pid,pid,14,16,32,32,3166.6,3209.5,42.9,26.624727272727267,16.275272727272732
pid_11-21-960开头pid,pid,15,15,49,49,3168.1,3196,27.9,26.624727272727267,1.275272727272732
pid_11-21-960开头pid,pid,16,13,37,37,3170.8,3189.5,18.7,26.624727272727267,-7.924727273
pid_11-21-960开头pid,pid,17,17,33,33,3465,3506.3,41.3,26.624727272727267,14.67527272727273
pid_11-21-960开头pid,pid,18,18,26,26,3756.4,3772.3,15.9,26.624727272727267,-10.72472727
pid_11-21-960开头pid,pid,19,20,30,30,3760.4,3793.9,33.5,26.624727272727267,6.875272727272733
pid_11-21-960开头pid,pid,20,19,50,50,3770.7,3793.7,23,26.624727272727267,-3.624727273
pid_11-21-960开头pid,pid,21,21,38,38,3773.6,3794.7,21.1,26.624727272727267,-5.524727273
pid_11-21-960开头pid,pid,22,23,33,33,3954.4,3997.3,42.9,26.624727272727267,16.275272727272732
pid_11-21-960开头pid,pid,23,24,26,26,4322.8,4336.5,13.7,26.624727272727267,-12.92472727
pid_11-21-960开头pid,pid,24,25,45,45,4360.5,4389.5,29,26.624727272727267,2.3752727272727334
pid_11-21-960开头pid,pid,25,28,31,31,4365.4,4394.5,29.1,26.624727272727267,2.475272727272735
pid_11-21-960开头pid,pid,26,26,40,40,4367,4389.9,22.9,26.624727272727267,-3.724727273
pid_11-21-960开头pid,pid,27,27,52,52,4368.9,4392.1,23.2,26.624727272727267,-3.424727273
pid_11-21-960开头pid,pid,30,30,54,54,5006.5,5033.7,27.2,26.624727272727267,0.5752727272727327
pid_11-21-960开头pid,pid,31,31,42,42,5012.1,5037.9,25.8,26.624727272727267,-0.824727273
pid_11-21-960开头pid,pid,32,32,32,32,5014.2,5043.9,29.7,26.624727272727267,3.0752727272727327
pid_11-21-960开头pid,pid,33,34,26,26,5019.8,5058.7,38.9,26.624727272727267,12.275272727272732
pid_11-21-960开头pid,pid,34,35,33,33,5350,5380.9,30.9,26.624727272727267,4.275272727272732
pid_11-21-960开头pid,pid,35,37,33,33,5938.2,5953.3,15.1,26.624727272727267,-11.52472727
pid_11-21-960开头pid,pid,37,40,45,45,6755.9,6793.9,38,26.624727272727267,11.375272727272733
pid_11-21-960开头pid,pid,38,39,26,26,6765.8,6781.3,15.5,26.624727272727267,-11.12472727
pid_11-21-960开头pid,pid,39,41,31,31,6787.6,6810.7,23.1,26.624727272727267,-3.524727273
pid_11-21-960开头pid,pid,40,42,52,52,6792.9,6815.1,22.2,26.624727272727267,-4.424727273
pid_11-21-960开头pid,pid,41,43,40,40,6796.6,6816.3,19.7,26.624727272727267,-6.924727273
pid_11-21-960开头pid,pid,42,44,30,30,7089.4,7114.7,25.3,26.624727272727267,-1.324727273
pid_11-21-960开头pid,pid,43,45,50,50,7100.5,7128.5,28,26.624727272727267,1.3752727272727334
pid_11-21-960开头pid,pid,44,46,38,38,7110.4,7133.1,22.7,26.624727272727267,-3.924727273
pid_11-21-960开头pid,pid,45,50,45,45,7479.1,7508.9,29.8,26.624727272727267,3.175272727272734
pid_11-21-960开头pid,pid,46,48,40,40,7480,7504.3,24.3,26.624727272727267,-2.324727273
pid_11-21-960开头pid,pid,47,49,52,52,7481.5,7505.7,24.2,26.624727272727267,-2.424727273
pid_11-21-960开头pid,pid,48,47,21,21,7483,7501.3,18.3,26.624727272727267,-8.324727273
pid_11-21-960开头pid,pid,49,51,31,31,7484,7512.7,28.7,26.624727272727267,2.0752727272727327
pid_11-21-960开头pid,pid,50,52,33,33,7770.8,7791.5,20.7,26.624727272727267,-5.924727273
pid_11-21-960开头pid,pid,51,55,52,52,8050.5,8087.7,37.2,26.624727272727267,10.575272727272736
pid_11-21-960开头pid,pid,52,56,40,40,8050.8,8087.9,37.1,26.624727272727267,10.475272727272735
pid_11-21-960开头pid,pid,53,53,45,45,8057.3,8080.7,23.4,26.624727272727267,-3.224727273
pid_11-21-960开头pid,pid,54,54,21,21,8058.8,8083.9,25.1,26.624727272727267,-1.524727273
pid_11-21-960开头pid,pid,55,57,33,33,8334.4,8353.7,19.3,26.624727272727267,-7.324727273
pid_11-21-960开头pid,pid,56,58,52,52,8621.1,8660.7,39.6,26.624727272727267,12.975272727272735
pid_11-21-960开头pid,pid,57,60,45,45,8631.9,8664.9,33,26.624727272727267,6.375272727272733
pid_11-21-960开头pid,pid,58,59,40,40,8642.4,8663.1,20.7,26.624727272727267,-5.924727273
pid_11-21-960开头pid,pid,59,61,21,21,8646.6,8679.1,32.5,26.624727272727267,5.875272727272733
pid_11-21-960开头pid,pid,60,62,31,31,8647.2,8681.5,34.3,26.624727272727267,7.675272727272731
pid_11-21-960开头pid,pid,61,63,33,33,8921.4,8942.1,20.7,26.624727272727267,-5.924727273
pid_11-21-960开头pid,pid,62,64,30,30,9211,9243.7,32.7,26.624727272727267,6.075272727272736
pid_11-21-960开头pid,pid,63,65,50,50,9224.3,9253.5,29.2,26.624727272727267,2.5752727272727327
pid_11-21-960开头pid,pid,64,67,38,38,9237,9261.7,24.7,26.624727272727267,-1.924727273
pid_11-21-960开头pid,pid,65,66,21,21,9237.8,9253.5,15.7,26.624727272727267,-10.92472727
pid_11-21-960开头pid,pid,66,68,45,45,9239.9,9267.1,27.2,26.624727272727267,0.5752727272727327
pid_11-21-960开头pid,pid,67,69,28,28,9529.4,9551.3,21.9,26.624727272727267,-4.724727273
pid_11-21-960开头pid,pid,68,70,37,37,9546.8,9563.1,16.3,26.624727272727267,-10.32472727
pid_11-21-960开头pid,pid,69,71,49,49,9549.5,9571.7,22.2,26.624727272727267,-4.424727273
pid_11-21-960开头pid,pid,70,76,30,30,9855.6,9894.5,38.9,26.624727272727267,12.275272727272732
pid_11-21-960开头pid,pid,71,75,26,26,9857.8,9888.7,30.9,26.624727272727267,4.275272727272732
pid_11-21-960开头pid,pid,72,73,38,38,9862.4,9882.3,19.9,26.624727272727267,-6.724727273
pid_11-21-960开头pid,pid,73,74,50,50,9862.7,9885.2,22.5,26.624727272727267,-4.124727273
pid_11-21-960开头pid,pid,74,78,33,33,10148.2,10186.1,37.9,26.624727272727267,11.275272727272732
pid_11-21-960开头pid,pid,75,79,47,47,10434.9,10465.9,31,26.624727272727267,4.375272727272733
pid_11-21-960开头pid,pid,76,80,31,31,10438.2,10474.3,36.1,26.624727272727267,9.475272727272735
pid_11-21-960开头pid,pid,77,81,43,43,10460.7,10497,36.3,26.624727272727267,9.67527272727273
pid_11-21-960开头pid,pid,78,82,35,35,10725,10762.5,37.5,26.624727272727267,10.875272727272733
pid_11-21-960开头pid,pid,79,83,42,42,11063.3,11089.4,26.1,26.624727272727267,-0.524727273
pid_11-21-960开头pid,pid,80,85,30,30,11067,11104.9,37.9,26.624727272727267,11.275272727272732
pid_11-21-960开头pid,pid,81,84,45,45,11069.3,11102.1,32.8,26.624727272727267,6.175272727272731
pid_11-21-960开头pid,pid,82,86,33,33,11370.2,11399.7,29.5,26.624727272727267,2.8752727272727334
pid_11-21-960开头pid,pid,83,87,30,30,11681.6,11720.5,38.9,26.624727272727267,12.275272727272732
pid_11-21-960开头pid,pid,84,88,26,26,11686.6,11732.7,46.1,26.624727272727267,19.475272727272735
pid_11-21-960开头pid,pid,85,89,50,50,11708.9,11733.4,24.5,26.624727272727267,-2.124727273
pid_11-21-960开头pid,pid,86,90,38,38,12065.2,12083.7,18.5,26.624727272727267,-8.124727273
pid_11-21-960开头pid,pid,87,91,50,50,12453.9,12479.3,25.4,26.624727272727267,-1.224727273
pid_11-21-960开头pid,pid,88,93,35,35,12460.4,12484.9,24.5,26.624727272727267,-2.124727273
pid_11-21-960开头pid,pid,89,95,26,26,12463.4,12499.5,36.1,26.624727272727267,9.475272727272735
