Ëã·¨Ãû³Æ,ÏÔÊ¾Ãû³Æ,Â¼ÖÆË÷Òý,»Ø·ÅË÷Òý,Â¼ÖÆ°´¼üID,»Ø·Å°´¼üID,Â¼ÖÆ°´¼üÊ±¼ä(ms),»Ø·Å°´¼üÊ±¼ä(ms),¾ø¶ÔÑÓÊ±(ms),Ëã·¨Æ½¾ùÑÓÊ±(ms),Ïà¶ÔÑÓÊ±(ms)
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,0,0,42,42,1727.1,1739.2,12.1,20.489051094890506,-8.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,1,1,43,43,1940.3,1959.6,19.3,20.489051094890506,-1.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,2,2,46,46,1952.9,1973.2,20.3,20.489051094890506,-0.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,3,3,54,54,1971.9,1990.4,18.5,20.489051094890506,-1.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,4,4,42,42,2187.1,2213.2,26.1,20.489051094890506,5.610948905109495
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,5,5,43,43,2432.5,2449,16.5,20.489051094890506,-3.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,6,6,46,46,2435.3,2453.4,18.1,20.489051094890506,-2.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,7,7,54,54,2443.7,2461.6,17.9,20.489051094890506,-2.589051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,8,8,42,42,2670.1,2691.4,21.3,20.489051094890506,0.8109489051094947
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,9,9,46,46,2909.1,2926.4,17.3,20.489051094890506,-3.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,10,10,49,49,2911.3,2933.4,22.1,20.489051094890506,1.6109489051094954
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,11,11,57,57,2914.7,2936.3,21.6,20.489051094890506,1.1109489051094954
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,12,12,45,45,2927.3,2970.2,42.9,20.489051094890506,22.410948905109493
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,13,13,42,42,3164.9,3184,19.1,20.489051094890506,-1.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,14,14,46,46,3397.9,3417.8,19.9,20.489051094890506,-0.589051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,15,15,43,43,3399.9,3418.6,18.7,20.489051094890506,-1.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,16,16,54,54,3409.3,3427.2,17.9,20.489051094890506,-2.589051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,17,17,42,42,3646.5,3670,23.5,20.489051094890506,3.010948905109494
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,18,18,37,37,3877.1,3891.1,14,20.489051094890506,-6.489051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,19,19,44,44,4095.3,4115.5,20.2,20.489051094890506,-0.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,20,20,52,52,4096.9,4117,20.1,20.489051094890506,-0.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,21,22,41,41,4100.7,4144.6,43.9,20.489051094890506,23.410948905109493
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,22,21,40,40,4107.7,4125.7,18,20.489051094890506,-2.489051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,23,24,47,47,4318.1,4341.2,23.1,20.489051094890506,2.6109489051094954
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,24,25,35,35,4320.7,4342.1,21.4,20.489051094890506,0.9109489051094926
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,25,23,39,39,4324.3,4340.7,16.4,20.489051094890506,-4.089051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,26,26,36,36,4337.7,4356.3,18.6,20.489051094890506,-1.889051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,27,27,42,42,4567.9,4582,14.1,20.489051094890506,-6.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,28,28,43,43,4796.1,4812.4,16.3,20.489051094890506,-4.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,29,29,46,46,4799.5,4817.2,17.7,20.489051094890506,-2.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,30,30,54,54,4804.9,4824.2,19.3,20.489051094890506,-1.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,31,31,42,42,5041.9,5065.6,23.7,20.489051094890506,3.2109489051094933
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,32,32,43,43,5259.3,5277.4,18.1,20.489051094890506,-2.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,33,33,46,46,5269.3,5288.4,19.1,20.489051094890506,-1.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,34,34,54,54,5276.9,5294.9,18,20.489051094890506,-2.489051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,35,35,42,42,5490.1,5517,26.9,20.489051094890506,6.410948905109493
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,36,36,46,46,5709.3,5738.4,29.1,20.489051094890506,8.610948905109495
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,37,37,49,49,5726.7,5757.2,30.5,20.489051094890506,10.010948905109494
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,38,38,57,57,5740.7,5760.2,19.5,20.489051094890506,-0.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,39,39,45,45,5753.1,5775.4,22.3,20.489051094890506,1.8109489051094947
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,40,40,42,42,5994.7,6013.8,19.1,20.489051094890506,-1.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,41,41,46,46,6222.1,6241,18.9,20.489051094890506,-1.589051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,42,42,43,43,6227.3,6243,15.7,20.489051094890506,-4.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,43,43,54,54,6231.5,6248,16.5,20.489051094890506,-3.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,44,44,42,42,6454.7,6477.8,23.1,20.489051094890506,2.6109489051094954
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,45,45,37,37,6688.1,6708.3,20.2,20.489051094890506,-0.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,46,46,41,41,6898.7,6914.4,15.7,20.489051094890506,-4.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,47,47,44,44,6904.3,6926,21.7,20.489051094890506,1.2109489051094933
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,48,48,40,40,6908.7,6927.7,19,20.489051094890506,-1.489051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,49,49,52,52,6909.9,6929.4,19.5,20.489051094890506,-0.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,50,50,35,35,7139.3,7158.5,19.2,20.489051094890506,-1.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,51,52,47,47,7143.9,7165,21.1,20.489051094890506,0.6109489051094954
