算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
pid_11-21-幻想曲_pid,pid,1,0,16,16,1772.2,1790.5,18.3,15.993540669856467,2.306459330143534
pid_11-21-幻想曲_pid,pid,2,2,28,28,1773.3,1794.1,20.8,15.993540669856467,4.806459330143534
pid_11-21-幻想曲_pid,pid,3,4,44,44,1773.7,1795.8,22.1,15.993540669856467,6.106459330143535
pid_11-21-幻想曲_pid,pid,4,5,32,32,1774.5,1796.5,22,15.993540669856467,6.006459330143533
pid_11-21-幻想曲_pid,pid,5,3,23,23,1775.9,1794.5,18.6,15.993540669856467,2.606459330143535
pid_11-21-幻想曲_pid,pid,6,6,40,40,1779.3,1803.3,24,15.993540669856467,8.006459330143533
pid_11-21-幻想曲_pid,pid,7,7,23,23,2181.1,2196.3,15.2,15.993540669856467,-0.79354067
pid_11-21-幻想曲_pid,pid,8,8,28,28,2187.9,2207.7,19.8,15.993540669856467,3.806459330143534
pid_11-21-幻想曲_pid,pid,9,9,44,44,2188.7,2210.2,21.5,15.993540669856467,5.506459330143533
pid_11-21-幻想曲_pid,pid,10,10,35,35,2195.1,2213.7,18.6,15.993540669856467,2.606459330143535
pid_11-21-幻想曲_pid,pid,11,11,32,32,2196.3,2214.9,18.6,15.993540669856467,2.606459330143535
pid_11-21-幻想曲_pid,pid,12,13,40,40,2199.7,2218.3,18.6,15.993540669856467,2.606459330143535
pid_11-21-幻想曲_pid,pid,13,12,16,16,2201,2216.5,15.5,15.993540669856467,-0.49354067
pid_11-21-幻想曲_pid,pid,14,14,16,16,2394.8,2410.5,15.7,15.993540669856467,-0.29354067
pid_11-21-幻想曲_pid,pid,15,15,28,28,2405.5,2421.9,16.4,15.993540669856467,0.40645933014353197
pid_11-21-幻想曲_pid,pid,16,17,44,44,2412.1,2444.4,32.3,15.993540669856467,16.306459330143532
pid_11-21-幻想曲_pid,pid,18,16,23,23,2415.7,2427.7,12,15.993540669856467,-3.99354067
pid_11-21-幻想曲_pid,pid,19,18,28,28,2633.1,2648.1,15,15.993540669856467,-0.99354067
pid_11-21-幻想曲_pid,pid,20,22,44,44,2637.9,2664.4,26.5,15.993540669856467,10.506459330143533
pid_11-21-幻想曲_pid,pid,22,21,16,16,2646.4,2659.4,13,15.993540669856467,-2.99354067
pid_11-21-幻想曲_pid,pid,23,27,40,40,3076.3,3098.3,22,15.993540669856467,6.006459330143533
pid_11-21-幻想曲_pid,pid,24,26,44,44,3078.3,3098,19.7,15.993540669856467,3.7064593301435327
pid_11-21-幻想曲_pid,pid,25,23,23,23,3080.1,3092.7,12.6,15.993540669856467,-3.39354067
pid_11-21-幻想曲_pid,pid,26,24,28,28,3081.3,3095.5,14.2,15.993540669856467,-1.79354067
pid_11-21-幻想曲_pid,pid,27,25,35,35,3082.1,3097.3,15.2,15.993540669856467,-0.79354067
pid_11-21-幻想曲_pid,pid,28,29,16,16,3083.4,3099.5,16.1,15.993540669856467,0.10645933014353481
pid_11-21-幻想曲_pid,pid,29,28,32,32,3084.5,3099.3,14.8,15.993540669856467,-1.19354067
pid_11-21-幻想曲_pid,pid,30,30,44,44,3281.3,3298.4,17.1,15.993540669856467,1.1064593301435348
pid_11-21-幻想曲_pid,pid,31,31,23,23,3284.3,3301.9,17.6,15.993540669856467,1.6064593301435348
pid_11-21-幻想曲_pid,pid,32,32,28,28,3286.5,3302.5,16,15.993540669856467,0.006459330143533393
pid_11-21-幻想曲_pid,pid,33,33,32,32,3291.1,3304.5,13.4,15.993540669856467,-2.59354067
pid_11-21-幻想曲_pid,pid,34,35,35,35,3294.5,3311.3,16.8,15.993540669856467,0.8064593301435341
pid_11-21-幻想曲_pid,pid,35,34,16,16,3297,3309.5,12.5,15.993540669856467,-3.49354067
pid_11-21-幻想曲_pid,pid,36,42,35,35,3469.7,3515.5,45.8,15.993540669856467,29.806459330143532
pid_11-21-幻想曲_pid,pid,37,40,23,23,3475.7,3514.3,38.6,15.993540669856467,22.606459330143537
pid_11-21-幻想曲_pid,pid,38,38,16,16,3487.6,3489,1.4,15.993540669856467,-14.59354067
pid_11-21-幻想曲_pid,pid,39,37,44,44,3488.9,3460,-28.9,15.993540669856467,-44.89354067
pid_11-21-幻想曲_pid,pid,40,39,28,28,3491.1,3510.5,19.4,15.993540669856467,3.406459330143532
pid_11-21-幻想曲_pid,pid,41,41,32,32,3501.3,3514.3,13,15.993540669856467,-2.99354067
pid_11-21-幻想曲_pid,pid,43,45,32,32,3815.1,3832.1,17,15.993540669856467,1.0064593301435334
pid_11-21-幻想曲_pid,pid,44,46,35,35,3901.1,3920.1,19,15.993540669856467,3.0064593301435334
pid_11-21-幻想曲_pid,pid,45,47,40,40,4029.5,4044.3,14.8,15.993540669856467,-1.19354067
pid_11-21-幻想曲_pid,pid,46,48,44,44,4130.9,4147.2,16.3,15.993540669856467,0.3064593301435341
pid_11-21-幻想曲_pid,pid,47,49,47,47,4209.3,4231.6,22.3,15.993540669856467,6.306459330143534
pid_11-21-幻想曲_pid,pid,48,50,39,39,4358.3,4373.7,15.4,15.993540669856467,-0.59354067
pid_11-21-幻想曲_pid,pid,49,51,51,51,4361.7,4379.8,18.1,15.993540669856467,2.106459330143535
pid_11-21-幻想曲_pid,pid,51,53,52,52,4779.7,4795.6,15.9,15.993540669856467,-0.09354067
pid_11-21-幻想曲_pid,pid,52,54,40,40,4780.3,4796.3,16,15.993540669856467,0.006459330143533393
pid_11-21-幻想曲_pid,pid,53,56,52,52,5012.3,5029.6,17.3,15.993540669856467,1.306459330143534
pid_11-21-幻想曲_pid,pid,54,55,40,40,5013.5,5029.1,15.6,15.993540669856467,-0.39354067
pid_11-21-幻想曲_pid,pid,55,57,47,47,5208.5,5239,30.5,15.993540669856467,14.506459330143533
pid_11-21-幻想曲_pid,pid,56,60,53,53,5223.1,5243.8,20.7,15.993540669856467,4.706459330143533
pid_11-21-幻想曲_pid,pid,57,59,51,51,5224.5,5243.4,18.9,15.993540669856467,2.906459330143532
pid_11-21-幻想曲_pid,pid,58,58,23,23,5224.5,5241.3,16.8,15.993540669856467,0.8064593301435341
pid_11-21-幻想曲_pid,pid,59,61,11,11,5226.8,5245.2,18.4,15.993540669856467,2.406459330143532
pid_11-21-幻想曲_pid,pid,60,62,45,45,5231.1,5248.2,17.1,15.993540669856467,1.1064593301435348
pid_11-21-幻想曲_pid,pid,63,63,35,35,5662.3,5709.3,47,15.993540669856467,31.006459330143535
pid_11-21-幻想曲_pid,pid,64,64,54,54,5692.9,5712.6,19.7,15.993540669856467,3.7064593301435327
pid_11-21-幻想曲_pid,pid,65,66,45,45,5698.9,5715.8,16.9,15.993540669856467,0.906459330143532
pid_11-21-幻想曲_pid,pid,66,67,23,23,5698.9,5716.3,17.4,15.993540669856467,1.406459330143532
pid_11-21-幻想曲_pid,pid,67,69,23,23,7007.9,7021.3,13.4,15.993540669856467,-2.59354067
pid_11-21-幻想曲_pid,pid,68,71,39,39,7008.3,7022.9,14.6,15.993540669856467,-1.39354067
