算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
pid_11-21-土耳其进行曲,pid,0,0,51,51,1714.6,1731.6,17.0,16.80054945054945,0.19945054945054963
pid_11-21-土耳其进行曲,pid,1,1,49,49,1783.2,1805.0,21.8,16.80054945054945,4.99945054945055
pid_11-21-土耳其进行曲,pid,2,2,48,48,1868.4,1895.4,27.0,16.80054945054945,10.19945054945055
pid_11-21-土耳其进行曲,pid,3,3,49,49,1958.8,1952.6,-6.2,16.80054945054945,-23.00054945054945
pid_11-21-土耳其进行曲,pid,4,4,37,37,2060.8,2080.4,19.6,16.80054945054945,2.799450549450551
pid_11-21-土耳其进行曲,pid,5,5,52,52,2082.4,2100.2,17.8,16.80054945054945,0.9994505494505503
pid_11-21-土耳其进行曲,pid,6,6,40,40,2263.2,2283.8,20.6,16.80054945054945,3.799450549450551
pid_11-21-土耳其进行曲,pid,7,7,44,44,2274.2,2295.0,20.8,16.80054945054945,3.9994505494505503
pid_11-21-土耳其进行曲,pid,8,8,40,40,2436.8,2461.4,24.6,16.80054945054945,7.799450549450551
pid_11-21-土耳其进行曲,pid,9,9,44,44,2450.0,2470.8,20.8,16.80054945054945,3.9994505494505503
pid_11-21-土耳其进行曲,pid,10,10,54,54,2517.8,2537.8,20.0,16.80054945054945,3.1994505494505496
pid_11-21-土耳其进行曲,pid,11,11,52,52,2593.4,2609.2,15.8,16.80054945054945,-1.0005494505494497
pid_11-21-土耳其进行曲,pid,12,12,44,44,2650.2,2685.8,35.6,16.80054945054945,18.79945054945055
pid_11-21-土耳其进行曲,pid,13,13,40,40,2660.0,2699.6,39.6,16.80054945054945,22.79945054945055
pid_11-21-土耳其进行曲,pid,14,14,51,51,2686.0,2701.4,15.4,16.80054945054945,-1.40054945054945
pid_11-21-土耳其进行曲,pid,15,15,52,52,2742.2,2783.4,41.2,16.80054945054945,24.399450549450552
pid_11-21-土耳其进行曲,pid,16,16,37,37,2860.0,2876.2,16.2,16.80054945054945,-0.6005494505494511
pid_11-21-土耳其进行曲,pid,17,17,56,56,2883.2,2900.8,17.6,16.80054945054945,0.799450549450551
pid_11-21-土耳其进行曲,pid,18,18,44,44,3061.2,3078.4,17.2,16.80054945054945,0.3994505494505489
pid_11-21-土耳其进行曲,pid,19,19,40,40,3061.6,3080.0,18.4,16.80054945054945,1.5994505494505482
pid_11-21-土耳其进行曲,pid,20,21,40,40,3230.0,3257.4,27.4,16.80054945054945,10.599450549450548
pid_11-21-土耳其进行曲,pid,21,20,44,44,3230.8,3240.6,9.8,16.80054945054945,-7.00054945054945
pid_11-21-土耳其进行曲,pid,22,22,57,57,3272.4,3287.6,15.2,16.80054945054945,-1.600549450549451
