算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
pid_11-21-热情,pid,0,1,16,16,2577.5,2621.1,43.6,22.438071065989845,21.161928934010156
pid_11-21-热情,pid,1,0,40,40,2583.3,2615.1,31.8,22.438071065989845,9.361928934010155
pid_11-21-热情,pid,2,2,12,12,3244.3,3278.9,34.6,22.438071065989845,12.161928934010156
pid_11-21-热情,pid,3,3,36,36,3273.3,3321.1,47.8,22.438071065989845,25.36192893401015
pid_11-21-热情,pid,4,4,9,9,3452.9,3485.5,32.6,22.438071065989845,10.161928934010156
pid_11-21-热情,pid,5,5,33,33,3466.7,3493.5,26.8,22.438071065989845,4.361928934010155
pid_11-21-热情,pid,6,6,36,36,4959.3,4988.1,28.8,22.438071065989845,6.361928934010155
pid_11-21-热情,pid,7,7,12,12,4966.9,5002.7,35.8,22.438071065989845,13.361928934010152
pid_11-21-热情,pid,8,8,16,16,5344.1,5366.7,22.6,22.438071065989845,0.16192893401015596
pid_11-21-热情,pid,9,9,40,40,5365.5,5396.9,31.4,22.438071065989845,8.961928934010153
pid_11-21-热情,pid,10,10,21,21,5555.7,5574.1,18.4,22.438071065989845,-4.038071065989847
pid_11-21-热情,pid,11,11,45,45,5556.1,5581.3,25.2,22.438071065989845,2.761928934010154
pid_11-21-热情,pid,12,12,24,24,6145.1,6166.5,21.4,22.438071065989845,-1.0380710659898469
pid_11-21-热情,pid,13,13,48,48,6154.7,6175.7,21.0,22.438071065989845,-1.4380710659898455
pid_11-21-热情,pid,14,14,28,28,6545.2,6573.7,28.5,22.438071065989845,6.0619289340101545
pid_11-21-热情,pid,15,15,52,52,6565.5,6588.9,23.4,22.438071065989845,0.9619289340101531
pid_11-21-热情,pid,16,16,33,33,6743.5,6761.5,18.0,22.438071065989845,-4.4380710659898455
pid_11-21-热情,pid,17,17,57,57,6748.3,6771.1,22.8,22.438071065989845,0.36192893401015525
pid_11-21-热情,pid,18,18,36,36,7352.0,7374.7,22.7,22.438071065989845,0.2619289340101538
pid_11-21-热情,pid,19,19,45,45,7353.7,7379.7,26.0,22.438071065989845,3.5619289340101545
pid_11-21-热情,pid,20,20,40,40,8032.6,8076.1,43.5,22.438071065989845,21.061928934010155
