Ëã·¨Ãû³Æ,ÏÔÊ¾Ãû³Æ,Â¼ÖÆË÷Òý,»Ø·ÅË÷Òý,Â¼ÖÆ°´¼üID,»Ø·Å°´¼üID,Â¼ÖÆ°´¼üÊ±¼ä(ms),»Ø·Å°´¼üÊ±¼ä(ms),¾ø¶ÔÑÓÊ±(ms),Ëã·¨Æ½¾ùÑÓÊ±(ms),Ïà¶ÔÑÓÊ±(ms)
pid_11-21-Ðð4,pid,0,0,59,59,2135.8,2167.9,32.1,26.505464480874323,5.594535519125678
pid_11-21-Ðð4,pid,1,1,47,47,2145,2180.9,35.9,26.505464480874323,9.394535519125675
pid_11-21-Ðð4,pid,2,2,59,59,2943.6,2965.9,22.3,26.505464480874323,-4.205464481
pid_11-21-Ðð4,pid,3,3,47,47,2946.8,2970.5,23.7,26.505464480874323,-2.805464481
pid_11-21-Ðð4,pid,4,4,47,47,3601.6,3621.9,20.3,26.505464480874323,-6.205464481
pid_11-21-Ðð4,pid,5,5,59,59,3608.6,3628.1,19.5,26.505464480874323,-7.005464481
pid_11-21-Ðð4,pid,6,7,59,59,4429.8,4452.9,23.1,26.505464480874323,-3.405464481
pid_11-21-Ðð4,pid,7,6,47,47,4431,4451.7,20.7,26.505464480874323,-5.805464481
pid_11-21-Ðð4,pid,8,8,44,44,4434.2,4470.1,35.9,26.505464480874323,9.394535519125675
pid_11-21-Ðð4,pid,9,9,52,52,4805.6,4829.7,24.1,26.505464480874323,-2.405464481
pid_11-21-Ðð4,pid,11,11,47,47,5077.2,5111.1,33.9,26.505464480874323,7.394535519125675
pid_11-21-Ðð4,pid,12,12,59,59,5103.6,5125.9,22.3,26.505464480874323,-4.205464481
pid_11-21-Ðð4,pid,13,13,52,52,5351.6,5384.7,33.1,26.505464480874323,6.594535519125678
pid_11-21-Ðð4,pid,14,14,59,59,5564,5607.7,43.7,26.505464480874323,17.19453551912568
pid_11-21-Ðð4,pid,15,16,42,42,5604.4,5635.5,31.1,26.505464480874323,4.594535519125678
pid_11-21-Ðð4,pid,16,15,47,47,5614.8,5631.1,16.3,26.505464480874323,-10.20546448
pid_11-21-Ðð4,pid,17,17,52,52,5860.8,5894.9,34.1,26.505464480874323,7.594535519125678
pid_11-21-Ðð4,pid,19,19,47,47,6148.4,6178.5,30.1,26.505464480874323,3.594535519125678
pid_11-21-Ðð4,pid,20,18,42,42,6152.2,6174.2,22,26.505464480874323,-4.505464481
pid_11-21-Ðð4,pid,21,22,52,52,6446,6476.1,30.1,26.505464480874323,3.594535519125678
pid_11-21-Ðð4,pid,22,21,50,50,6448,6472.3,24.3,26.505464480874323,-2.205464481
pid_11-21-Ðð4,pid,23,24,47,47,6762.6,6800.5,37.9,26.505464480874323,11.394535519125675
pid_11-21-Ðð4,pid,24,23,59,59,6772.2,6796.5,24.3,26.505464480874323,-2.205464481
pid_11-21-Ðð4,pid,25,25,40,40,6795.7,6820,24.3,26.505464480874323,-2.205464481
pid_11-21-Ðð4,pid,26,26,50,50,7081.8,7114.7,32.9,26.505464480874323,6.394535519125675
pid_11-21-Ðð4,pid,27,27,52,52,7122.2,7154.7,32.5,26.505464480874323,5.994535519125677
pid_11-21-Ðð4,pid,28,28,59,59,7458,7480.5,22.5,26.505464480874323,-4.005464481
pid_11-21-Ðð4,pid,29,29,47,47,7476,7493.1,17.1,26.505464480874323,-9.405464481
pid_11-21-Ðð4,pid,31,31,52,52,7830.6,7876.3,45.7,26.505464480874323,19.19453551912568
pid_11-21-Ðð4,pid,32,32,59,59,8331.2,8356.7,25.5,26.505464480874323,-1.005464481
