算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
pid_11-21-叙,pid,0,0,40,40,2137.4,2168.3,30.9,32.54081632653061,-1.6408163265306115
pid_11-21-叙,pid,1,1,42,42,2468.8,2505.9,37.1,32.54081632653061,4.559183673469391
pid_11-21-叙,pid,2,2,46,46,2738.0,2762.1,24.1,32.54081632653061,-8.440816326530609
pid_11-21-叙,pid,3,3,50,50,2967.8,2991.7,23.9,32.54081632653061,-8.640816326530611
pid_11-21-叙,pid,4,4,49,49,3170.4,3196.7,26.3,32.54081632653061,-6.240816326530609
pid_11-21-叙,pid,5,5,47,47,3417.6,3444.5,26.9,32.54081632653061,-5.6408163265306115
pid_11-21-叙,pid,6,6,42,42,3846.2,3876.9,30.7,32.54081632653061,-1.8408163265306108
pid_11-21-叙,pid,7,7,23,23,3856.8,3897.7,40.9,32.54081632653061,8.359183673469389
pid_11-21-叙,pid,8,8,38,38,3869.2,3900.7,31.5,32.54081632653061,-1.04081632653061
pid_11-21-叙,pid,9,9,38,38,4227.2,4272.1,44.9,32.54081632653061,12.359183673469389
pid_11-21-叙,pid,10,11,42,42,4266.0,4297.9,31.9,32.54081632653061,-0.6408163265306115
pid_11-21-叙,pid,11,10,23,23,4266.4,4295.1,28.7,32.54081632653061,-3.840816326530611
pid_11-21-叙,pid,12,12,54,54,4764.6,4788.3,23.7,32.54081632653061,-8.84081632653061
pid_11-21-叙,pid,13,13,47,47,5163.2,5196.3,33.1,32.54081632653061,0.5591836734693914
pid_11-21-叙,pid,14,14,42,42,5166.4,5203.3,36.9,32.54081632653061,4.3591836734693885
pid_11-21-叙,pid,15,15,38,38,5191.6,5222.7,31.1,32.54081632653061,-1.4408163265306086
pid_11-21-叙,pid,16,16,42,42,5557.0,5603.3,46.3,32.54081632653061,13.759183673469387
pid_11-21-叙,pid,17,17,38,38,5584.4,5604.5,20.1,32.54081632653061,-12.440816326530609
pid_11-21-叙,pid,18,18,47,47,5605.2,5643.1,37.9,32.54081632653061,5.3591836734693885
pid_11-21-叙,pid,19,19,52,52,6104.0,6127.9,23.9,32.54081632653061,-8.640816326530611
pid_11-21-叙,pid,20,20,47,47,6561.4,6591.3,29.9,32.54081632653061,-2.6408163265306115
pid_11-21-叙,pid,22,22,43,43,6607.6,6648.3,40.7,32.54081632653061,8.159183673469393
pid_11-21-叙,pid,23,23,47,47,7181.0,7218.9,37.9,32.54081632653061,5.3591836734693885
pid_11-21-叙,pid,25,25,43,43,7195.6,7245.5,49.9,32.54081632653061,17.35918367346939
pid_11-21-叙,pid,26,26,40,40,8284.2,8312.5,28.3,32.54081632653061,-4.240816326530609
pid_11-21-叙,pid,27,27,18,18,8526.8,8562.9,36.1,32.54081632653061,3.5591836734693914
pid_11-21-叙,pid,28,28,42,42,8549.2,8572.1,22.9,32.54081632653061,-9.640816326530611
pid_11-21-叙,pid,29,29,46,46,8757.0,8780.9,23.9,32.54081632653061,-8.640816326530611
pid_11-21-叙,pid,31,31,50,50,8977.0,8999.3,22.3,32.54081632653061,-10.24081632653061
pid_11-21-叙,pid,32,32,49,49,9150.2,9176.1,25.9,32.54081632653061,-6.6408163265306115
pid_11-21-叙,pid,33,33,47,47,9378.2,9400.1,21.9,32.54081632653061,-10.640816326530611
pid_11-21-叙,pid,34,34,38,38,9752.4,9777.3,24.9,32.54081632653061,-7.6408163265306115
pid_11-21-叙,pid,35,35,42,42,9756.2,9782.3,26.1,32.54081632653061,-6.440816326530609
pid_11-21-叙,pid,36,36,23,23,9773.0,9797.5,24.5,32.54081632653061,-8.04081632653061
pid_11-21-叙,pid,37,37,38,38,10127.2,10167.1,39.9,32.54081632653061,7.3591836734693885
pid_11-21-叙,pid,39,39,23,23,10185.8,10211.3,25.5,32.54081632653061,-7.04081632653061
pid_11-21-叙,pid,40,40,44,44,10624.0,10650.7,26.7,32.54081632653061,-5.840816326530611
pid_11-21-叙,pid,41,42,35,35,11034.6,11065.3,30.7,32.54081632653061,-1.8408163265306108
pid_11-21-叙,pid,42,41,37,37,11035.4,11062.7,27.3,32.54081632653061,-5.240816326530609
pid_11-21-叙,pid,43,43,25,25,11054.0,11094.7,40.7,32.54081632653061,8.159183673469393
pid_11-21-叙,pid,44,44,41,41,11058.0,11095.5,37.5,32.54081632653061,4.95918367346939
pid_11-21-叙,pid,47,45,41,41,11476.0,11516.1,40.1,32.54081632653061,7.559183673469391
pid_11-21-叙,pid,48,47,25,25,11503.8,11541.5,37.7,32.54081632653061,5.159183673469393
pid_11-21-叙,pid,49,49,46,46,12042.4,12072.5,30.1,32.54081632653061,-2.4408163265306086
pid_11-21-叙,pid,50,51,37,37,12547.4,12596.3,48.9,32.54081632653061,16.35918367346939
pid_11-21-叙,pid,51,50,18,18,12552.2,12591.5,39.3,32.54081632653061,6.759183673469387
pid_11-21-叙,pid,52,52,42,42,12564.2,12601.5,37.3,32.54081632653061,4.759183673469387
pid_11-21-叙,pid,53,53,34,34,12572.0,12615.5,43.5,32.54081632653061,10.95918367346939
pid_11-21-叙,pid,57,56,18,18,13206.2,13249.5,43.3,32.54081632653061,10.759183673469387
