算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
smc_11-21-960smc,smc,0,0,50,50,2302.4,2325.5,23.1,17.87147058823529,5.228529411764711
smc_11-21-960smc,smc,1,1,10,10,2320,2350.2,30.2,17.87147058823529,12.328529411764709
smc_11-21-960smc,smc,2,2,29,29,2961.9,2990.2,28.3,17.87147058823529,10.42852941176471
smc_11-21-960smc,smc,3,3,34,34,3257.1,3276.8,19.7,17.87147058823529,1.828529411764709
smc_11-21-960smc,smc,4,4,29,29,3442.5,3455.4,12.9,17.87147058823529,-4.971470588
smc_11-21-960smc,smc,5,5,48,48,3710.8,3728.7,17.9,17.87147058823529,0.028529411764708357
smc_11-21-960smc,smc,6,6,22,22,3717.7,3738.6,20.9,17.87147058823529,3.0285294117647084
smc_11-21-960smc,smc,7,7,29,29,3932.3,3944.8,12.5,17.87147058823529,-5.371470588
smc_11-21-960smc,smc,8,8,33,33,4097.7,4121.2,23.5,17.87147058823529,5.62852941176471
smc_11-21-960smc,smc,9,9,29,29,4259.5,4273.4,13.9,17.87147058823529,-3.971470588
smc_11-21-960smc,smc,10,10,50,50,4434.8,4455.3,20.5,17.87147058823529,2.6285294117647098
smc_11-21-960smc,smc,11,11,22,22,4442.1,4462,19.9,17.87147058823529,2.0285294117647084
smc_11-21-960smc,smc,12,12,29,29,4622.1,4637.4,15.3,17.87147058823529,-2.571470588
smc_11-21-960smc,smc,13,13,34,34,4761.3,4780,18.7,17.87147058823529,0.8285294117647091
smc_11-21-960smc,smc,14,14,22,22,5096.9,5116.2,19.3,17.87147058823529,1.4285294117647105
smc_11-21-960smc,smc,15,15,51,51,5115.4,5137.7,22.3,17.87147058823529,4.4285294117647105
smc_11-21-960smc,smc,16,16,29,29,5282.3,5313,30.7,17.87147058823529,12.828529411764709
smc_11-21-960smc,smc,17,17,36,36,5446.1,5467.5,21.4,17.87147058823529,3.5285294117647084
smc_11-21-960smc,smc,18,18,29,29,5627.7,5654.7,27,17.87147058823529,9.12852941176471
smc_11-21-960smc,smc,19,19,22,22,5831.5,5850.9,19.4,17.87147058823529,1.5285294117647084
smc_11-21-960smc,smc,20,20,53,53,5871.8,5890.1,18.3,17.87147058823529,0.4285294117647105
smc_11-21-960smc,smc,21,21,29,29,6052.5,6079.5,27,17.87147058823529,9.12852941176471
smc_11-21-960smc,smc,22,22,38,38,6219.7,6239.3,19.6,17.87147058823529,1.7285294117647112
smc_11-21-960smc,smc,23,23,29,29,6424.5,6438.9,14.4,17.87147058823529,-3.471470588
smc_11-21-960smc,smc,24,24,22,22,6601.9,6620.5,18.6,17.87147058823529,0.7285294117647112
smc_11-21-960smc,smc,25,25,29,29,6678.1,6692.9,14.8,17.87147058823529,-3.071470588
smc_11-21-960smc,smc,26,26,38,38,6870.7,6887.1,16.4,17.87147058823529,-1.471470588
smc_11-21-960smc,smc,27,27,29,29,6997.9,7019.3,21.4,17.87147058823529,3.5285294117647084
smc_11-21-960smc,smc,28,28,22,22,7173.5,7191.1,17.6,17.87147058823529,-0.271470588
smc_11-21-960smc,smc,29,30,38,38,7453.9,7470.1,16.2,17.87147058823529,-1.671470588
smc_11-21-960smc,smc,30,31,29,29,7552.5,7573.1,20.6,17.87147058823529,2.728529411764711
smc_11-21-960smc,smc,31,32,51,51,7783.8,7803.7,19.9,17.87147058823529,2.0285294117647084
smc_11-21-960smc,smc,32,33,22,22,7786.7,7804.3,17.6,17.87147058823529,-0.271470588
smc_11-21-960smc,smc,33,34,29,29,7934.1,7947.9,13.8,17.87147058823529,-4.071470588
smc_11-21-960smc,smc,34,35,34,34,8109.1,8129.1,20,17.87147058823529,2.1285294117647098
smc_11-21-960smc,smc,35,36,50,50,8133,8151.9,18.9,17.87147058823529,1.0285294117647084
smc_11-21-960smc,smc,36,37,29,29,8256.3,8276.9,20.6,17.87147058823529,2.728529411764711
smc_11-21-960smc,smc,37,38,22,22,8460.3,8479.7,19.4,17.87147058823529,1.5285294117647084
smc_11-21-960smc,smc,38,39,55,55,8582.6,8600.1,17.5,17.87147058823529,-0.371470588
smc_11-21-960smc,smc,39,40,31,31,8697.7,8722.3,24.6,17.87147058823529,6.728529411764711
smc_11-21-960smc,smc,40,41,39,39,8867.1,8889.9,22.8,17.87147058823529,4.9285294117647105
smc_11-21-960smc,smc,41,42,31,31,8999.3,9006.5,7.2,17.87147058823529,-10.67147059
smc_11-21-960smc,smc,42,43,22,22,9189.1,9206.1,17,17.87147058823529,-0.871470588
smc_11-21-960smc,smc,43,44,55,55,9213,9228.1,15.1,17.87147058823529,-2.771470588
