算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
smc_11-21-丑角的晨歌 (1),smc,0,0,42,42,1727.1,1739.1,12.0,17.13169014084507,-5.13169014084507
smc_11-21-丑角的晨歌 (1),smc,1,1,43,43,1940.3,1959.3,19.0,17.13169014084507,1.8683098591549303
smc_11-21-丑角的晨歌 (1),smc,2,2,46,46,1952.9,1971.9,19.0,17.13169014084507,1.8683098591549303
smc_11-21-丑角的晨歌 (1),smc,3,3,54,54,1971.9,1988.7,16.8,17.13169014084507,-0.331690140845069
smc_11-21-丑角的晨歌 (1),smc,4,4,42,42,2187.1,2205.9,18.8,17.13169014084507,1.668309859154931
smc_11-21-丑角的晨歌 (1),smc,5,5,43,43,2432.5,2449.7,17.2,17.13169014084507,0.0683098591549296
smc_11-21-丑角的晨歌 (1),smc,6,6,46,46,2435.3,2452.3,17.0,17.13169014084507,-0.1316901408450697
smc_11-21-丑角的晨歌 (1),smc,7,7,54,54,2443.7,2459.5,15.8,17.13169014084507,-1.331690140845069
smc_11-21-丑角的晨歌 (1),smc,8,8,42,42,2670.1,2688.5,18.4,17.13169014084507,1.2683098591549289
smc_11-21-丑角的晨歌 (1),smc,9,9,46,46,2909.1,2927.1,18.0,17.13169014084507,0.8683098591549303
smc_11-21-丑角的晨歌 (1),smc,10,10,49,49,2911.3,2932.3,21.0,17.13169014084507,3.8683098591549303
smc_11-21-丑角的晨歌 (1),smc,11,11,57,57,2914.7,2932.3,17.6,17.13169014084507,0.46830985915493173
smc_11-21-丑角的晨歌 (1),smc,12,12,45,45,2927.3,2949.2,21.9,17.13169014084507,4.768309859154929
smc_11-21-丑角的晨歌 (1),smc,13,13,42,42,3164.9,3181.9,17.0,17.13169014084507,-0.1316901408450697
smc_11-21-丑角的晨歌 (1),smc,14,14,46,46,3397.9,3415.9,18.0,17.13169014084507,0.8683098591549303
smc_11-21-丑角的晨歌 (1),smc,15,15,43,43,3399.9,3419.3,19.4,17.13169014084507,2.268309859154929
smc_11-21-丑角的晨歌 (1),smc,16,16,54,54,3409.3,3425.1,15.8,17.13169014084507,-1.331690140845069
smc_11-21-丑角的晨歌 (1),smc,17,17,42,42,3646.5,3665.1,18.6,17.13169014084507,1.4683098591549317
smc_11-21-丑角的晨歌 (1),smc,18,18,37,37,3877.1,3891.0,13.9,17.13169014084507,-3.2316901408450693
smc_11-21-丑角的晨歌 (1),smc,19,19,44,44,4095.3,4110.9,15.6,17.13169014084507,-1.53169014084507
smc_11-21-丑角的晨歌 (1),smc,20,20,52,52,4096.9,4114.7,17.8,17.13169014084507,0.668309859154931
