算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
smc_11-21-狂热smc,smc,0,1,52,52,2482.3,2502.8,20.5,15.909881422924895,4.5901185770751045
smc_11-21-狂热smc,smc,1,0,36,36,2483.8,2501.6,17.8,15.909881422924895,1.8901185770751052
smc_11-21-狂热smc,smc,2,2,64,64,2485.7,2504.6,18.9,15.909881422924895,2.990118577075103
smc_11-21-狂热smc,smc,3,3,57,57,2491.3,2508.4,17.1,15.909881422924895,1.190118577075106
smc_11-21-狂热smc,smc,4,4,45,45,2845.1,2863.2,18.1,15.909881422924895,2.190118577075106
smc_11-21-狂热smc,smc,5,5,41,41,2850.9,2869.8,18.9,15.909881422924895,2.990118577075103
smc_11-21-狂热smc,smc,6,6,57,57,2854.3,2871.2,16.9,15.909881422924895,0.9901185770751031
smc_11-21-狂热smc,smc,7,7,53,53,2855.9,2873.8,17.9,15.909881422924895,1.990118577075103
smc_11-21-狂热smc,smc,8,8,65,65,2859.7,2877.9,18.2,15.909881422924895,2.290118577075104
smc_11-21-狂热smc,smc,9,11,29,29,3214.0,3232.4,18.4,15.909881422924895,2.490118577075103
smc_11-21-狂热smc,smc,10,10,63,63,3214.5,3230.8,16.3,15.909881422924895,0.3901185770751052
smc_11-21-狂热smc,smc,11,13,57,57,3217.1,3234.4,17.3,15.909881422924895,1.3901185770751052
smc_11-21-狂热smc,smc,12,12,51,51,3217.9,3233.4,15.5,15.909881422924895,-0.4098814229248955
smc_11-21-狂热smc,smc,13,14,45,45,3531.7,3549.8,18.1,15.909881422924895,2.190118577075106
smc_11-21-狂热smc,smc,14,15,41,41,3548.5,3564.4,15.9,15.909881422924895,-0.009881422924895134
smc_11-21-狂热smc,smc,15,16,53,53,3651.5,3670.6,19.1,15.909881422924895,3.190118577075106
smc_11-21-狂热smc,smc,16,17,57,57,3654.5,3672.4,17.9,15.909881422924895,1.990118577075103
smc_11-21-狂热smc,smc,17,19,65,65,3667.1,3685.7,18.6,15.909881422924895,2.690118577075106
smc_11-21-狂热smc,smc,18,20,24,24,3793.6,3812.2,18.6,15.909881422924895,2.690118577075106
smc_11-21-狂热smc,smc,19,22,64,64,3800.5,3820.0,19.5,15.909881422924895,3.5901185770751045
smc_11-21-狂热smc,smc,20,21,52,52,3804.5,3818.8,14.3,15.909881422924895,-1.6098814229248948
smc_11-21-狂热smc,smc,21,23,57,57,3805.5,3820.2,14.7,15.909881422924895,-1.2098814229248962
smc_11-21-狂热smc,smc,22,24,57,57,3980.7,3990.6,9.9,15.909881422924895,-6.009881422924895
smc_11-21-狂热smc,smc,23,25,45,45,4053.3,4070.6,17.3,15.909881422924895,1.3901185770751052
smc_11-21-狂热smc,smc,24,26,41,41,4059.9,4079.2,19.3,15.909881422924895,3.390118577075105
smc_11-21-狂热smc,smc,25,27,53,53,4081.5,4097.8,16.3,15.909881422924895,0.3901185770751052
smc_11-21-狂热smc,smc,26,28,65,65,4087.5,4104.7,17.2,15.909881422924895,1.2901185770751038
smc_11-21-狂热smc,smc,28,30,17,17,4346.0,4364.8,18.8,15.909881422924895,2.890118577075105
smc_11-21-狂热smc,smc,29,31,63,63,4356.7,4372.4,15.7,15.909881422924895,-0.2098814229248962
smc_11-21-狂热smc,smc,30,32,51,51,4359.7,4373.8,14.1,15.909881422924895,-1.8098814229248958
smc_11-21-狂热smc,smc,31,33,45,45,4589.7,4605.8,16.1,15.909881422924895,0.19011857707510593
smc_11-21-狂热smc,smc,32,34,41,41,4595.5,4615.4,19.9,15.909881422924895,3.990118577075103
smc_11-21-狂热smc,smc,33,35,57,57,4645.3,4662.8,17.5,15.909881422924895,1.5901185770751045
smc_11-21-狂热smc,smc,34,36,53,53,4657.7,4673.2,15.5,15.909881422924895,-0.4098814229248955
smc_11-21-狂热smc,smc,35,37,65,65,4667.7,4684.7,17.0,15.909881422924895,1.0901185770751045
smc_11-21-狂热smc,smc,36,38,34,34,4815.4,4829.8,14.4,15.909881422924895,-1.5098814229248951
smc_11-21-狂热smc,smc,37,39,52,52,4843.1,4857.4,14.3,15.909881422924895,-1.6098814229248948
smc_11-21-狂热smc,smc,38,40,64,64,4843.1,4860.8,17.7,15.909881422924895,1.7901185770751038
smc_11-21-狂热smc,smc,39,41,46,46,5051.9,5067.8,15.9,15.909881422924895,-0.009881422924895134
smc_11-21-狂热smc,smc,40,42,38,38,5053.6,5069.2,15.6,15.909881422924895,-0.30988142292489584
smc_11-21-狂热smc,smc,41,43,41,41,5057.5,5079.0,21.5,15.909881422924895,5.5901185770751045
smc_11-21-狂热smc,smc,42,44,62,62,5064.3,5082.6,18.3,15.909881422924895,2.390118577075105
smc_11-21-狂热smc,smc,43,46,65,65,5069.5,5087.3,17.8,15.909881422924895,1.8901185770751052
smc_11-21-狂热smc,smc,44,45,53,53,5072.1,5085.2,13.1,15.909881422924895,-2.809881422924896
smc_11-21-狂热smc,smc,45,47,29,29,5292.8,5307.4,14.6,15.909881422924895,-1.3098814229248958
smc_11-21-狂热smc,smc,46,49,58,58,5301.5,5319.0,17.5,15.909881422924895,1.5901185770751045
smc_11-21-狂热smc,smc,47,48,50,50,5305.3,5317.4,12.1,15.909881422924895,-3.809881422924896
smc_11-21-狂热smc,smc,48,50,62,62,5306.1,5322.8,16.7,15.909881422924895,0.7901185770751038
smc_11-21-狂热smc,smc,49,52,38,38,5492.8,5505.8,13.0,15.909881422924895,-2.9098814229248955
smc_11-21-狂热smc,smc,50,53,41,41,5494.5,5513.0,18.5,15.909881422924895,2.5901185770751045
smc_11-21-狂热smc,smc,51,54,53,53,5572.1,5585.2,13.1,15.909881422924895,-2.809881422924896
smc_11-21-狂热smc,smc,52,55,62,62,5572.3,5592.4,20.1,15.909881422924895,4.190118577075106
smc_11-21-狂热smc,smc,53,56,22,22,5698.0,5712.4,14.4,15.909881422924895,-1.5098814229248951
smc_11-21-狂热smc,smc,54,57,52,52,5721.1,5735.4,14.3,15.909881422924895,-1.6098814229248948
smc_11-21-狂热smc,smc,55,58,64,64,5722.3,5741.8,19.5,15.909881422924895,3.5901185770751045
smc_11-21-狂热smc,smc,56,59,41,41,5914.1,5928.0,13.9,15.909881422924895,-2.009881422924895
smc_11-21-狂热smc,smc,58,60,53,53,5924.7,5937.6,12.9,15.909881422924895,-3.009881422924895
smc_11-21-狂热smc,smc,59,61,65,65,5928.3,5945.5,17.2,15.909881422924895,1.2901185770751038
smc_11-21-狂热smc,smc,60,62,62,62,5931.3,5946.8,15.5,15.909881422924895,-0.4098814229248955
smc_11-21-狂热smc,smc,61,63,17,17,6134.6,6151.8,17.2,15.909881422924895,1.2901185770751038
smc_11-21-狂热smc,smc,62,64,50,50,6143.3,6155.0,11.7,15.909881422924895,-4.209881422924896
smc_11-21-狂热smc,smc,63,65,58,58,6146.5,6164.8,18.3,15.909881422924895,2.390118577075105
smc_11-21-狂热smc,smc,64,66,62,62,6146.5,6166.8,20.3,15.909881422924895,4.390118577075105
smc_11-21-狂热smc,smc,65,67,45,45,6348.7,6362.4,13.7,15.909881422924895,-2.209881422924896
smc_11-21-狂热smc,smc,66,68,41,41,6348.9,6366.0,17.1,15.909881422924895,1.190118577075106
smc_11-21-狂热smc,smc,67,69,53,53,6375.7,6390.6,14.9,15.909881422924895,-1.0098814229248951
smc_11-21-狂热smc,smc,68,70,62,62,6394.7,6411.4,16.7,15.909881422924895,0.7901185770751038
smc_11-21-狂热smc,smc,69,72,64,64,6520.9,6538.4,17.5,15.909881422924895,1.5901185770751045
smc_11-21-狂热smc,smc,70,71,36,36,6521.8,6538.0,16.2,15.909881422924895,0.2901185770751038
smc_11-21-狂热smc,smc,71,74,52,52,6533.5,6546.8,13.3,15.909881422924895,-2.609881422924895
smc_11-21-狂热smc,smc,73,75,45,45,6714.1,6733.8,19.7,15.909881422924895,3.790118577075104
smc_11-21-狂热smc,smc,74,76,41,41,6715.7,6735.0,19.3,15.909881422924895,3.390118577075105
smc_11-21-狂热smc,smc,75,78,62,62,6719.9,6742.0,22.1,15.909881422924895,6.190118577075106
smc_11-21-狂热smc,smc,76,77,53,53,6727.7,6740.4,12.7,15.909881422924895,-3.209881422924896
smc_11-21-狂热smc,smc,77,79,65,65,6741.5,6761.7,20.2,15.909881422924895,4.290118577075104
smc_11-21-狂热smc,smc,78,80,63,63,6908.9,6922.6,13.7,15.909881422924895,-2.209881422924896
smc_11-21-狂热smc,smc,79,82,29,29,6916.6,6932.2,15.6,15.909881422924895,-0.30988142292489584
smc_11-21-狂热smc,smc,80,81,55,55,6918.5,6930.6,12.1,15.909881422924895,-3.809881422924896
smc_11-21-狂热smc,smc,81,83,67,67,6920.1,6937.7,17.6,15.909881422924895,1.690118577075106
smc_11-21-狂热smc,smc,82,85,41,41,7101.7,7117.8,16.1,15.909881422924895,0.19011857707510593
smc_11-21-狂热smc,smc,83,84,45,45,7102.5,7116.6,14.1,15.909881422924895,-1.8098814229248958
smc_11-21-狂热smc,smc,84,87,62,62,7160.9,7182.4,21.5,15.909881422924895,5.5901185770751045
smc_11-21-狂热smc,smc,85,86,53,53,7165.5,7180.0,14.5,15.909881422924895,-1.4098814229248955
smc_11-21-狂热smc,smc,86,89,24,24,7287.0,7304.2,17.2,15.909881422924895,1.2901185770751038
smc_11-21-狂热smc,smc,87,90,64,64,7287.5,7305.8,18.3,15.909881422924895,2.390118577075105
smc_11-21-狂热smc,smc,88,91,52,52,7296.5,7310.6,14.1,15.909881422924895,-1.8098814229248958
smc_11-21-狂热smc,smc,89,92,45,45,7473.1,7486.6,13.5,15.909881422924895,-2.4098814229248955
smc_11-21-狂热smc,smc,90,93,41,41,7475.9,7492.2,16.3,15.909881422924895,0.3901185770751052
smc_11-21-狂热smc,smc,91,95,62,62,7485.3,7505.4,20.1,15.909881422924895,4.190118577075106
smc_11-21-狂热smc,smc,92,94,53,53,7486.7,7498.8,12.1,15.909881422924895,-3.809881422924896
smc_11-21-狂热smc,smc,93,99,63,63,7673.1,7691.8,18.7,15.909881422924895,2.790118577075104
smc_11-21-狂热smc,smc,94,98,67,67,7674.5,7691.7,17.2,15.909881422924895,1.2901185770751038
smc_11-21-狂热smc,smc,95,97,55,55,7675.3,7687.6,12.3,15.909881422924895,-3.609881422924895
smc_11-21-狂热smc,smc,96,100,17,17,7677.2,7694.2,17.0,15.909881422924895,1.0901185770751045
smc_11-21-狂热smc,smc,97,101,45,45,7865.7,7818.6,-47.1,15.909881422924895,-63.0098814229249
smc_11-21-狂热smc,smc,98,102,41,41,7873.7,7888.0,14.3,15.909881422924895,-1.6098814229248948
smc_11-21-狂热smc,smc,99,103,53,53,7905.1,7919.4,14.3,15.909881422924895,-1.6098814229248948
smc_11-21-狂热smc,smc,100,104,65,65,7918.3,7937.5,19.2,15.909881422924895,3.290118577075104
smc_11-21-狂热smc,smc,101,105,62,62,7919.5,7942.0,22.5,15.909881422924895,6.5901185770751045
smc_11-21-狂热smc,smc,102,106,34,34,8038.6,8052.2,13.6,15.909881422924895,-2.309881422924896
smc_11-21-狂热smc,smc,103,107,64,64,8049.7,8067.2,17.5,15.909881422924895,1.5901185770751045
smc_11-21-狂热smc,smc,104,108,52,52,8054.9,8069.4,14.5,15.909881422924895,-1.4098814229248955
smc_11-21-狂热smc,smc,105,109,62,62,8066.7,8083.8,17.1,15.909881422924895,1.190118577075106
smc_11-21-狂热smc,smc,106,110,46,46,8221.9,8239.0,17.1,15.909881422924895,1.190118577075106
smc_11-21-狂热smc,smc,107,112,41,41,8225.1,8246.8,21.7,15.909881422924895,5.790118577075104
smc_11-21-狂热smc,smc,109,114,62,62,8239.5,8254.8,15.3,15.909881422924895,-0.6098814229248948
smc_11-21-狂热smc,smc,110,113,53,53,8241.5,8254.2,12.7,15.909881422924895,-3.209881422924896
smc_11-21-狂热smc,smc,111,115,65,65,8245.7,8262.7,17.0,15.909881422924895,1.0901185770751045
smc_11-21-狂热smc,smc,112,116,29,29,8426.6,8441.6,15.0,15.909881422924895,-0.9098814229248955
smc_11-21-狂热smc,smc,113,117,58,58,8438.3,8452.4,14.1,15.909881422924895,-1.8098814229248958
smc_11-21-狂热smc,smc,114,118,70,70,8441.7,8457.9,16.2,15.909881422924895,0.2901185770751038
smc_11-21-狂热smc,smc,115,119,38,38,8600.0,8612.2,12.2,15.909881422924895,-3.709881422924896
smc_11-21-狂热smc,smc,116,120,41,41,8603.1,8618.4,15.3,15.909881422924895,-0.6098814229248948
smc_11-21-狂热smc,smc,117,122,62,62,8676.9,8697.6,20.7,15.909881422924895,4.790118577075104
smc_11-21-狂热smc,smc,118,121,53,53,8679.7,8694.8,15.1,15.909881422924895,-0.8098814229248958
smc_11-21-狂热smc,smc,119,123,64,64,8814.7,8832.8,18.1,15.909881422924895,2.190118577075106
smc_11-21-狂热smc,smc,120,124,52,52,8819.3,8833.4,14.1,15.909881422924895,-1.8098814229248958
smc_11-21-狂热smc,smc,121,125,22,22,8821.8,8838.2,16.4,15.909881422924895,0.4901185770751031
smc_11-21-狂热smc,smc,122,126,24,24,8838.6,8860.0,21.4,15.909881422924895,5.490118577075103
smc_11-21-狂热smc,smc,124,128,41,41,9035.3,9053.0,17.7,15.909881422924895,1.7901185770751038
smc_11-21-狂热smc,smc,125,127,53,53,9041.1,9052.8,11.7,15.909881422924895,-4.209881422924896
smc_11-21-狂热smc,smc,127,130,65,65,9051.1,9067.1,16.0,15.909881422924895,0.09011857707510451
smc_11-21-狂热smc,smc,128,132,70,70,9270.9,9287.9,17.0,15.909881422924895,1.0901185770751045
smc_11-21-狂热smc,smc,129,131,58,58,9273.5,9286.6,13.1,15.909881422924895,-2.809881422924896
smc_11-21-狂热smc,smc,130,133,17,17,9273.6,9291.6,18.0,15.909881422924895,2.0901185770751045
smc_11-21-狂热smc,smc,131,135,41,41,9507.7,9525.4,17.7,15.909881422924895,1.7901185770751038
smc_11-21-狂热smc,smc,132,134,45,45,9508.3,9522.4,14.1,15.909881422924895,-1.8098814229248958
smc_11-21-狂热smc,smc,133,136,53,53,9545.5,9562.0,16.5,15.909881422924895,0.5901185770751045
smc_11-21-狂热smc,smc,134,137,62,62,9563.5,9583.2,19.7,15.909881422924895,3.790118577075104
smc_11-21-狂热smc,smc,135,139,52,52,9697.1,9712.6,15.5,15.909881422924895,-0.4098814229248955
smc_11-21-狂热smc,smc,136,140,36,36,9698.0,9714.0,16.0,15.909881422924895,0.09011857707510451
smc_11-21-狂热smc,smc,137,141,64,64,9698.9,9716.4,17.5,15.909881422924895,1.5901185770751045
smc_11-21-狂热smc,smc,139,142,57,57,9865.1,9885.2,20.1,15.909881422924895,4.190118577075106
smc_11-21-狂热smc,smc,140,144,53,53,9881.3,9898.4,17.1,15.909881422924895,1.190118577075106
smc_11-21-狂热smc,smc,141,145,41,41,9882.7,9902.0,19.3,15.909881422924895,3.390118577075105
smc_11-21-狂热smc,smc,142,143,45,45,9888.9,9896.2,7.3,15.909881422924895,-8.609881422924897
smc_11-21-狂热smc,smc,143,146,65,65,9897.1,9914.3,17.2,15.909881422924895,1.2901185770751038
smc_11-21-狂热smc,smc,145,148,63,63,10070.3,10084.2,13.9,15.909881422924895,-2.009881422924895
smc_11-21-狂热smc,smc,146,150,29,29,10071.0,10088.4,17.4,15.909881422924895,1.490118577075103
smc_11-21-狂热smc,smc,147,149,51,51,10071.9,10086.0,14.1,15.909881422924895,-1.8098814229248958
smc_11-21-狂热smc,smc,148,151,31,31,10082.2,10097.8,15.6,15.909881422924895,-0.30988142292489584
smc_11-21-狂热smc,smc,149,152,45,45,10245.7,10258.6,12.9,15.909881422924895,-3.009881422924895
smc_11-21-狂热smc,smc,150,154,41,41,10250.3,10267.8,17.5,15.909881422924895,1.5901185770751045
smc_11-21-狂热smc,smc,152,155,53,53,10297.9,10313.4,15.5,15.909881422924895,-0.4098814229248955
smc_11-21-狂热smc,smc,153,156,65,65,10301.5,10318.5,17.0,15.909881422924895,1.0901185770751045
smc_11-21-狂热smc,smc,154,158,24,24,10428.6,10443.6,15.0,15.909881422924895,-0.9098814229248955
smc_11-21-狂热smc,smc,155,159,52,52,10441.9,10457.0,15.1,15.909881422924895,-0.8098814229248958
smc_11-21-狂热smc,smc,156,160,64,64,10449.3,10468.6,19.3,15.909881422924895,3.390118577075105
smc_11-21-狂热smc,smc,157,161,57,57,10451.3,10474.4,23.1,15.909881422924895,7.190118577075106
smc_11-21-狂热smc,smc,159,164,45,45,10612.7,10613.2,0.5,15.909881422924895,-15.409881422924895
smc_11-21-狂热smc,smc,160,165,57,57,10613.9,10631.2,17.3,15.909881422924895,1.3901185770751052
smc_11-21-狂热smc,smc,161,166,41,41,10617.7,10633.8,16.1,15.909881422924895,0.19011857707510593
