算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
smc_11-21-叙4smc,smc,0,0,59,59,2135.8,2156.0,20.2,20.035148514851482,0.16485148514851744
smc_11-21-叙4smc,smc,1,1,47,47,2145.0,2168.0,23.0,20.035148514851482,2.964851485148518
smc_11-21-叙4smc,smc,2,2,59,59,2943.6,2959.4,15.8,20.035148514851482,-4.235148514851481
smc_11-21-叙4smc,smc,3,3,47,47,2946.8,2967.8,21.0,20.035148514851482,0.9648514851485182
smc_11-21-叙4smc,smc,4,4,47,47,3601.6,3622.2,20.6,20.035148514851482,0.5648514851485196
smc_11-21-叙4smc,smc,5,5,59,59,3608.6,3623.6,15.0,20.035148514851482,-5.035148514851482
smc_11-21-叙4smc,smc,6,6,59,59,4429.8,4445.6,15.8,20.035148514851482,-4.235148514851481
smc_11-21-叙4smc,smc,7,7,47,47,4431.0,4452.4,21.4,20.035148514851482,1.3648514851485167
smc_11-21-叙4smc,smc,8,8,44,44,4434.2,4454.0,19.8,20.035148514851482,-0.23514851485148114
smc_11-21-叙4smc,smc,9,9,52,52,4805.6,4824.0,18.4,20.035148514851482,-1.6351485148514833
smc_11-21-叙4smc,smc,10,10,44,44,5028.8,5042.6,13.8,20.035148514851482,-6.235148514851481
smc_11-21-叙4smc,smc,11,12,47,47,5077.2,5098.6,21.4,20.035148514851482,1.3648514851485167
smc_11-21-叙4smc,smc,12,11,59,59,5103.6,5072.2,-31.4,20.035148514851482,-51.43514851485148
smc_11-21-叙4smc,smc,13,13,52,52,5351.6,5368.6,17.0,20.035148514851482,-3.035148514851482
smc_11-21-叙4smc,smc,14,14,59,59,5564.0,5580.6,16.6,20.035148514851482,-3.4351485148514804
smc_11-21-叙4smc,smc,15,15,42,42,5604.4,5627.8,23.4,20.035148514851482,3.3648514851485167
smc_11-21-叙4smc,smc,16,16,47,47,5614.8,5631.8,17.0,20.035148514851482,-3.035148514851482
smc_11-21-叙4smc,smc,17,17,52,52,5860.8,5879.4,18.6,20.035148514851482,-1.4351485148514804
smc_11-21-叙4smc,smc,18,18,59,59,6088.2,6124.6,36.4,20.035148514851482,16.364851485148517
smc_11-21-叙4smc,smc,19,20,47,47,6148.4,6172.8,24.4,20.035148514851482,4.364851485148517
smc_11-21-叙4smc,smc,20,19,42,42,6152.2,6169.4,17.2,20.035148514851482,-2.8351485148514826
smc_11-21-叙4smc,smc,21,21,52,52,6446.0,6466.4,20.4,20.035148514851482,0.36485148514851673
smc_11-21-叙4smc,smc,22,22,50,50,6448.0,6467.2,19.2,20.035148514851482,-0.8351485148514826
smc_11-21-叙4smc,smc,23,24,47,47,6762.6,6793.6,31.0,20.035148514851482,10.964851485148518
smc_11-21-叙4smc,smc,24,23,59,59,6772.2,6788.4,16.2,20.035148514851482,-3.8351485148514826
smc_11-21-叙4smc,smc,25,25,40,40,6795.7,6818.6,22.9,20.035148514851482,2.8648514851485167
smc_11-21-叙4smc,smc,26,26,50,50,7081.8,7100.2,18.4,20.035148514851482,-1.6351485148514833
smc_11-21-叙4smc,smc,27,27,52,52,7122.2,7148.4,26.2,20.035148514851482,6.164851485148517
smc_11-21-叙4smc,smc,28,28,59,59,7458.0,7473.8,15.8,20.035148514851482,-4.235148514851481
smc_11-21-叙4smc,smc,29,29,47,47,7476.0,7493.2,17.2,20.035148514851482,-2.8351485148514826
smc_11-21-叙4smc,smc,30,30,50,50,7749.8,7767.4,17.6,20.035148514851482,-2.4351485148514804
smc_11-21-叙4smc,smc,31,31,52,52,7830.6,7852.2,21.6,20.035148514851482,1.5648514851485196
smc_11-21-叙4smc,smc,32,32,59,59,8331.2,8348.0,16.8,20.035148514851482,-3.235148514851481
smc_11-21-叙4smc,smc,33,33,47,47,8349.2,8372.0,22.8,20.035148514851482,2.764851485148519
smc_11-21-叙4smc,smc,34,34,59,59,9064.4,9080.0,15.6,20.035148514851482,-4.435148514851482
smc_11-21-叙4smc,smc,35,35,21,21,9082.9,9102.9,20.0,20.035148514851482,-0.03514851485148185
smc_11-21-叙4smc,smc,36,36,49,49,9437.8,9460.6,22.8,20.035148514851482,2.764851485148519
smc_11-21-叙4smc,smc,37,37,40,40,9446.1,9467.9,21.8,20.035148514851482,1.7648514851485189
smc_11-21-叙4smc,smc,38,38,52,52,9455.4,9475.8,20.4,20.035148514851482,0.36485148514851673
smc_11-21-叙4smc,smc,39,39,37,37,9703.3,9721.5,18.2,20.035148514851482,-1.8351485148514826
smc_11-21-叙4smc,smc,40,40,57,57,9706.2,9725.8,19.6,20.035148514851482,-0.43514851485148043
smc_11-21-叙4smc,smc,41,41,45,45,9717.4,9733.0,15.6,20.035148514851482,-4.435148514851482
smc_11-21-叙4smc,smc,42,42,40,40,9923.9,9947.4,23.5,20.035148514851482,3.464851485148518
smc_11-21-叙4smc,smc,43,43,49,49,9941.4,9960.4,19.0,20.035148514851482,-1.0351485148514818
smc_11-21-叙4smc,smc,44,44,52,52,9947.6,9968.4,20.8,20.035148514851482,0.7648514851485189
smc_11-21-叙4smc,smc,45,45,30,30,10176.9,10195.3,18.4,20.035148514851482,-1.6351485148514833
smc_11-21-叙4smc,smc,46,46,56,56,10183.4,10204.0,20.6,20.035148514851482,0.5648514851485196
smc_11-21-叙4smc,smc,47,47,44,44,10194.4,10210.0,15.6,20.035148514851482,-4.435148514851482
smc_11-21-叙4smc,smc,48,48,40,40,10389.5,10416.9,27.4,20.035148514851482,7.364851485148517
smc_11-21-叙4smc,smc,49,49,49,49,10426.8,10444.2,17.4,20.035148514851482,-2.6351485148514833
smc_11-21-叙4smc,smc,50,50,52,52,10445.6,10464.8,19.2,20.035148514851482,-0.8351485148514826
smc_11-21-叙4smc,smc,51,51,56,56,10703.8,10722.8,19.0,20.035148514851482,-1.0351485148514818
smc_11-21-叙4smc,smc,52,52,44,44,10727.4,10743.2,15.8,20.035148514851482,-4.235148514851481
smc_11-21-叙4smc,smc,53,53,23,23,10740.7,10759.1,18.4,20.035148514851482,-1.6351485148514833
smc_11-21-叙4smc,smc,54,54,35,35,11005.1,11030.3,25.2,20.035148514851482,5.164851485148517
smc_11-21-叙4smc,smc,55,56,51,51,11019.2,11047.0,27.8,20.035148514851482,7.764851485148519
smc_11-21-叙4smc,smc,56,55,47,47,11021.2,11040.0,18.8,20.035148514851482,-1.2351485148514811
smc_11-21-叙4smc,smc,57,58,39,39,11264.5,11286.1,21.6,20.035148514851482,1.5648514851485196
smc_11-21-叙4smc,smc,58,57,33,33,11266.5,11285.7,19.2,20.035148514851482,-0.8351485148514826
smc_11-21-叙4smc,smc,59,59,42,42,11271.8,11292.0,20.2,20.035148514851482,0.16485148514851744
smc_11-21-叙4smc,smc,60,60,54,54,11275.6,11293.2,17.6,20.035148514851482,-2.4351485148514804
smc_11-21-叙4smc,smc,61,61,47,47,11507.4,11528.2,20.8,20.035148514851482,0.7648514851485189
smc_11-21-叙4smc,smc,62,63,51,51,11525.8,11559.2,33.4,20.035148514851482,13.364851485148517
smc_11-21-叙4smc,smc,63,62,35,35,11533.1,11550.1,17.0,20.035148514851482,-3.035148514851482
smc_11-21-叙4smc,smc,64,64,32,32,11798.5,11822.1,23.6,20.035148514851482,3.5648514851485196
smc_11-21-叙4smc,smc,65,65,40,40,11807.7,11829.1,21.4,20.035148514851482,1.3648514851485167
smc_11-21-叙4smc,smc,66,66,52,52,11814.2,11832.8,18.6,20.035148514851482,-1.4351485148514804
smc_11-21-叙4smc,smc,67,67,35,35,11999.7,12017.7,18.0,20.035148514851482,-2.035148514851482
smc_11-21-叙4smc,smc,68,68,47,47,12048.0,12070.0,22.0,20.035148514851482,1.9648514851485182
smc_11-21-叙4smc,smc,69,69,28,28,12515.3,12532.7,17.4,20.035148514851482,-2.6351485148514833
smc_11-21-叙4smc,smc,70,70,44,44,12528.8,12546.4,17.6,20.035148514851482,-2.4351485148514804
smc_11-21-叙4smc,smc,71,71,56,56,12530.4,12550.8,20.4,20.035148514851482,0.36485148514851673
smc_11-21-叙4smc,smc,72,72,35,35,12779.3,12799.1,19.8,20.035148514851482,-0.23514851485148114
smc_11-21-叙4smc,smc,73,73,47,47,12820.4,12845.4,25.0,20.035148514851482,4.964851485148518
smc_11-21-叙4smc,smc,74,74,52,52,12870.0,12889.6,19.6,20.035148514851482,-0.43514851485148043
smc_11-21-叙4smc,smc,75,75,44,44,13111.4,13128.4,17.0,20.035148514851482,-3.035148514851482
smc_11-21-叙4smc,smc,76,76,40,40,13146.7,13169.3,22.6,20.035148514851482,2.5648514851485196
smc_11-21-叙4smc,smc,77,78,37,37,13385.7,13409.7,24.0,20.035148514851482,3.964851485148518
smc_11-21-叙4smc,smc,78,77,45,45,13389.2,13407.4,18.2,20.035148514851482,-1.8351485148514826
smc_11-21-叙4smc,smc,79,79,52,52,13404.4,13425.2,20.8,20.035148514851482,0.7648514851485189
smc_11-21-叙4smc,smc,80,80,44,44,13675.4,13692.4,17.0,20.035148514851482,-3.035148514851482
smc_11-21-叙4smc,smc,81,81,35,35,13680.5,13698.1,17.6,20.035148514851482,-2.4351485148514804
smc_11-21-叙4smc,smc,82,82,47,47,13945.0,13965.8,20.8,20.035148514851482,0.7648514851485189
smc_11-21-叙4smc,smc,83,83,52,52,13957.0,13975.0,18.0,20.035148514851482,-2.035148514851482
smc_11-21-叙4smc,smc,84,84,44,44,14218.0,14234.4,16.4,20.035148514851482,-3.6351485148514833
smc_11-21-叙4smc,smc,85,85,59,59,14548.6,14566.0,17.4,20.035148514851482,-2.6351485148514833
smc_11-21-叙4smc,smc,86,86,16,16,14555.0,14582.7,27.7,20.035148514851482,7.664851485148517
smc_11-21-叙4smc,smc,87,87,35,35,14925.9,14947.5,21.6,20.035148514851482,1.5648514851485196
smc_11-21-叙4smc,smc,88,88,52,52,14937.8,14955.6,17.8,20.035148514851482,-2.235148514851481
smc_11-21-叙4smc,smc,89,89,59,59,15168.0,15171.8,3.8,20.035148514851482,-16.23514851485148
smc_11-21-叙4smc,smc,90,90,40,40,15200.9,15217.7,16.8,20.035148514851482,-3.235148514851481
smc_11-21-叙4smc,smc,91,91,47,47,15205.6,15222.2,16.6,20.035148514851482,-3.4351485148514804
smc_11-21-叙4smc,smc,92,92,52,52,15420.6,15440.2,19.6,20.035148514851482,-0.43514851485148043
smc_11-21-叙4smc,smc,93,93,42,42,15424.0,15447.0,23.0,20.035148514851482,2.964851485148518
smc_11-21-叙4smc,smc,94,94,50,50,15438.8,15461.0,22.2,20.035148514851482,2.1648514851485174
smc_11-21-叙4smc,smc,95,95,59,59,15671.2,15686.8,15.6,20.035148514851482,-4.435148514851482
smc_11-21-叙4smc,smc,96,96,44,44,15675.8,15691.8,16.0,20.035148514851482,-4.035148514851482
smc_11-21-叙4smc,smc,97,97,47,47,15676.0,15692.4,16.4,20.035148514851482,-3.6351485148514833
smc_11-21-叙4smc,smc,98,98,50,50,15927.6,15945.2,17.6,20.035148514851482,-2.4351485148514804
smc_11-21-叙4smc,smc,99,99,52,52,15932.8,15948.2,15.4,20.035148514851482,-4.6351485148514815
smc_11-21-叙4smc,smc,100,100,21,21,16193.5,16212.3,18.8,20.035148514851482,-1.2351485148514811
smc_11-21-叙4smc,smc,101,101,47,47,16211.8,16227.2,15.4,20.035148514851482,-4.6351485148514815
smc_11-21-叙4smc,smc,102,102,59,59,16214.4,16228.0,13.6,20.035148514851482,-6.435148514851482
smc_11-21-叙4smc,smc,103,104,40,40,16487.5,16505.9,18.4,20.035148514851482,-1.6351485148514833
smc_11-21-叙4smc,smc,104,105,49,49,16498.4,16516.2,17.8,20.035148514851482,-2.235148514851481
smc_11-21-叙4smc,smc,105,106,52,52,16500.2,16518.2,18.0,20.035148514851482,-2.035148514851482
smc_11-21-叙4smc,smc,106,107,37,37,16724.3,16742.7,18.4,20.035148514851482,-1.6351485148514833
smc_11-21-叙4smc,smc,107,108,57,57,16733.4,16752.0,18.6,20.035148514851482,-1.4351485148514804
smc_11-21-叙4smc,smc,108,109,45,45,16741.4,16757.0,15.6,20.035148514851482,-4.435148514851482
smc_11-21-叙4smc,smc,109,110,40,40,16932.3,16954.3,22.0,20.035148514851482,1.9648514851485182
smc_11-21-叙4smc,smc,110,111,52,52,16963.0,16980.0,17.0,20.035148514851482,-3.035148514851482
smc_11-21-叙4smc,smc,111,112,49,49,16963.4,16980.0,16.6,20.035148514851482,-3.4351485148514804
smc_11-21-叙4smc,smc,112,113,30,30,17219.7,17240.1,20.4,20.035148514851482,0.36485148514851673
smc_11-21-叙4smc,smc,113,115,56,56,17221.8,17240.8,19.0,20.035148514851482,-1.0351485148514818
smc_11-21-叙4smc,smc,114,114,44,44,17224.2,17240.2,16.0,20.035148514851482,-4.035148514851482
smc_11-21-叙4smc,smc,115,116,40,40,17438.5,17458.9,20.4,20.035148514851482,0.36485148514851673
smc_11-21-叙4smc,smc,116,117,49,49,17452.4,17469.2,16.8,20.035148514851482,-3.235148514851481
smc_11-21-叙4smc,smc,117,118,52,52,17455.2,17480.8,25.6,20.035148514851482,5.56485148514852
smc_11-21-叙4smc,smc,118,119,56,56,17789.0,17809.2,20.2,20.035148514851482,0.16485148514851744
smc_11-21-叙4smc,smc,119,120,23,23,17800.3,17819.1,18.8,20.035148514851482,-1.2351485148514811
smc_11-21-叙4smc,smc,120,121,44,44,17811.0,17827.2,16.2,20.035148514851482,-3.8351485148514826
smc_11-21-叙4smc,smc,121,122,35,35,18070.7,18092.1,21.4,20.035148514851482,1.3648514851485167
