算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
smc_11-21-叙smc,smc,0,0,40,40,2137.4,2163.8,26.4,22.143103448275852,4.256896551724147
smc_11-21-叙smc,smc,1,1,42,42,2468.8,2502.4,33.6,22.143103448275852,11.45689655172415
smc_11-21-叙smc,smc,2,2,46,46,2738.0,2758.4,20.4,22.143103448275852,-1.7431034482758534
smc_11-21-叙smc,smc,3,3,50,50,2967.8,2987.4,19.6,22.143103448275852,-2.5431034482758506
smc_11-21-叙smc,smc,4,4,49,49,3170.4,3192.4,22.0,22.143103448275852,-0.14310344827585197
smc_11-21-叙smc,smc,5,5,47,47,3417.6,3437.6,20.0,22.143103448275852,-2.143103448275852
smc_11-21-叙smc,smc,6,6,42,42,3846.2,3868.6,22.4,22.143103448275852,0.2568965517241466
smc_11-21-叙smc,smc,7,7,23,23,3856.8,3883.6,26.8,22.143103448275852,4.656896551724149
smc_11-21-叙smc,smc,8,8,38,38,3869.2,3887.6,18.4,22.143103448275852,-3.7431034482758534
smc_11-21-叙smc,smc,9,9,38,38,4227.2,4243.6,16.4,22.143103448275852,-5.743103448275853
smc_11-21-叙smc,smc,10,11,42,42,4266.0,4288.0,22.0,22.143103448275852,-0.14310344827585197
smc_11-21-叙smc,smc,11,10,23,23,4266.4,4284.2,17.8,22.143103448275852,-4.343103448275851
smc_11-21-叙smc,smc,12,12,54,54,4764.6,4782.6,18.0,22.143103448275852,-4.143103448275852
smc_11-21-叙smc,smc,13,13,47,47,5163.2,5185.4,22.2,22.143103448275852,0.056896551724147315
smc_11-21-叙smc,smc,14,14,42,42,5166.4,5189.8,23.4,22.143103448275852,1.2568965517241466
smc_11-21-叙smc,smc,15,15,38,38,5191.6,5211.2,19.6,22.143103448275852,-2.5431034482758506
smc_11-21-叙smc,smc,16,16,42,42,5557.0,5575.4,18.4,22.143103448275852,-3.7431034482758534
smc_11-21-叙smc,smc,17,17,38,38,5584.4,5600.0,15.6,22.143103448275852,-6.543103448275852
