算法名称,显示名称,录制索引,回放索引,录制按键ID,回放按键ID,录制按键时间(ms),回放按键时间(ms),绝对延时(ms),算法平均延时(ms),相对延时(ms)
smc_11-21-土耳其进行曲_smc,smc,0,0,51,51,1714.6,1735.0,20.4,15.14918918918918,5.250810810810819
smc_11-21-土耳其进行曲_smc,smc,1,1,49,49,1783.2,1804.0,20.8,15.14918918918918,5.650810810810821
smc_11-21-土耳其进行曲_smc,smc,2,2,48,48,1868.4,1889.2,20.8,15.14918918918918,5.650810810810821
smc_11-21-土耳其进行曲_smc,smc,3,3,49,49,1958.8,1956.0,-2.8,15.14918918918918,-17.94918918918918
smc_11-21-土耳其进行曲_smc,smc,4,4,37,37,2060.8,2078.5,17.7,15.14918918918918,2.5508108108108196
smc_11-21-土耳其进行曲_smc,smc,5,5,52,52,2082.4,2099.4,17.0,15.14918918918918,1.8508108108108203
smc_11-21-土耳其进行曲_smc,smc,6,6,40,40,2263.2,2286.3,23.1,15.14918918918918,7.950810810810822
smc_11-21-土耳其进行曲_smc,smc,7,7,44,44,2274.2,2290.2,16.0,15.14918918918918,0.8508108108108203
smc_11-21-土耳其进行曲_smc,smc,8,8,40,40,2436.8,2452.3,15.5,15.14918918918918,0.35081081081082033
smc_11-21-土耳其进行曲_smc,smc,9,9,44,44,2450.0,2480.0,30.0,15.14918918918918,14.85081081081082
smc_11-21-土耳其进行曲_smc,smc,10,10,54,54,2517.8,2533.8,16.0,15.14918918918918,0.8508108108108203
smc_11-21-土耳其进行曲_smc,smc,11,11,52,52,2593.4,2608.4,15.0,15.14918918918918,-0.14918918918917967
smc_11-21-土耳其进行曲_smc,smc,12,12,44,44,2650.2,2663.4,13.2,15.14918918918918,-1.9491891891891804
smc_11-21-土耳其进行曲_smc,smc,13,13,40,40,2660.0,2669.5,9.5,15.14918918918918,-5.64918918918918
smc_11-21-土耳其进行曲_smc,smc,14,14,51,51,2686.0,2702.4,16.4,15.14918918918918,1.250810810810819
smc_11-21-土耳其进行曲_smc,smc,15,15,52,52,2742.2,2756.8,14.6,15.14918918918918,-0.54918918918918
smc_11-21-土耳其进行曲_smc,smc,16,16,37,37,2860.0,2878.5,18.5,15.14918918918918,3.3508108108108203
smc_11-21-土耳其进行曲_smc,smc,17,18,56,56,2883.2,2899.2,16.0,15.14918918918918,0.8508108108108203
smc_11-21-土耳其进行曲_smc,smc,18,19,44,44,3061.2,3068.4,7.2,15.14918918918918,-7.9491891891891795
smc_11-21-土耳其进行曲_smc,smc,19,20,40,40,3061.6,3079.1,17.5,15.14918918918918,2.3508108108108203
smc_11-21-土耳其进行曲_smc,smc,20,21,40,40,3230.0,3237.1,7.1,15.14918918918918,-8.04918918918918
smc_11-21-土耳其进行曲_smc,smc,21,22,44,44,3230.8,3238.2,7.4,15.14918918918918,-7.749189189189179
smc_11-21-土耳其进行曲_smc,smc,22,23,57,57,3272.4,3285.6,13.2,15.14918918918918,-1.9491891891891804
smc_11-21-土耳其进行曲_smc,smc,23,24,56,56,3362.8,3378.6,15.8,15.14918918918918,0.650810810810821
smc_11-21-土耳其进行曲_smc,smc,24,26,55,55,3443.6,3457.2,13.6,15.14918918918918,-1.54918918918918
smc_11-21-土耳其进行曲_smc,smc,25,25,40,40,3444.0,3451.5,7.5,15.14918918918918,-7.64918918918918
smc_11-21-土耳其进行曲_smc,smc,26,27,44,44,3449.4,3472.6,23.2,15.14918918918918,8.05081081081082
smc_11-21-土耳其进行曲_smc,smc,27,28,56,56,3534.0,3546.0,12.0,15.14918918918918,-3.1491891891891797
smc_11-21-土耳其进行曲_smc,smc,28,29,37,37,3627.0,3645.3,18.3,15.14918918918918,3.150810810810821
smc_11-21-土耳其进行曲_smc,smc,29,30,63,63,3647.6,3660.2,12.6,15.14918918918918,-2.54918918918918
smc_11-21-土耳其进行曲_smc,smc,30,31,61,61,3713.0,3727.0,14.0,15.14918918918918,-1.1491891891891797
smc_11-21-土耳其进行曲_smc,smc,31,32,60,60,3801.6,3817.0,15.4,15.14918918918918,0.2508108108108207
smc_11-21-土耳其进行曲_smc,smc,32,33,40,40,3803.8,3819.5,15.7,15.14918918918918,0.5508108108108196
smc_11-21-土耳其进行曲_smc,smc,33,34,44,44,3806.6,3822.6,16.0,15.14918918918918,0.8508108108108203
smc_11-21-土耳其进行曲_smc,smc,34,35,61,61,3913.2,3923.8,10.6,15.14918918918918,-4.54918918918918
smc_11-21-土耳其进行曲_smc,smc,35,36,37,37,3980.6,3998.1,17.5,15.14918918918918,2.3508108108108203
smc_11-21-土耳其进行曲_smc,smc,36,37,63,63,3999.4,4015.8,16.4,15.14918918918918,1.250810810810819
smc_11-21-土耳其进行曲_smc,smc,37,38,61,61,4076.6,4090.2,13.6,15.14918918918918,-1.54918918918918
smc_11-21-土耳其进行曲_smc,smc,38,40,44,44,4159.0,4184.8,25.8,15.14918918918918,10.650810810810821
smc_11-21-土耳其进行曲_smc,smc,39,39,40,40,4160.6,4177.9,17.3,15.14918918918918,2.150810810810821
smc_11-21-土耳其进行曲_smc,smc,40,41,60,60,4173.2,4189.6,16.4,15.14918918918918,1.250810810810819
smc_11-21-土耳其进行曲_smc,smc,41,42,61,61,4256.8,4270.8,14.0,15.14918918918918,-1.1491891891891797
smc_11-21-土耳其进行曲_smc,smc,42,43,37,37,4356.4,4375.3,18.9,15.14918918918918,3.750810810810819
smc_11-21-土耳其进行曲_smc,smc,43,44,64,64,4368.8,4385.0,16.2,15.14918918918918,1.0508108108108196
smc_11-21-土耳其进行曲_smc,smc,44,45,40,40,4563.2,4581.7,18.5,15.14918918918918,3.3508108108108203
smc_11-21-土耳其进行曲_smc,smc,45,46,44,44,4566.8,4583.0,16.2,15.14918918918918,1.0508108108108196
smc_11-21-土耳其进行曲_smc,smc,46,47,40,40,4749.2,4734.9,-14.3,15.14918918918918,-29.44918918918918
smc_11-21-土耳其进行曲_smc,smc,47,48,44,44,4750.0,4779.6,29.6,15.14918918918918,14.450810810810822
smc_11-21-土耳其进行曲_smc,smc,48,49,61,61,4770.6,4782.8,12.2,15.14918918918918,-2.9491891891891804
smc_11-21-土耳其进行曲_smc,smc,49,50,40,40,4937.4,4938.7,1.3,15.14918918918918,-13.849189189189179
smc_11-21-土耳其进行曲_smc,smc,50,52,44,44,4939.2,4963.4,24.2,15.14918918918918,9.05081081081082
smc_11-21-土耳其进行曲_smc,smc,51,51,64,64,4945.8,4962.8,17.0,15.14918918918918,1.8508108108108203
smc_11-21-土耳其进行曲_smc,smc,52,53,59,59,5085.8,5102.2,16.4,15.14918918918918,1.250810810810819
smc_11-21-土耳其进行曲_smc,smc,53,54,61,61,5132.6,5145.2,12.6,15.14918918918918,-2.54918918918918
smc_11-21-土耳其进行曲_smc,smc,54,55,63,63,5148.2,5160.2,12.0,15.14918918918918,-3.1491891891891797
smc_11-21-土耳其进行曲_smc,smc,55,56,32,32,5152.4,5168.3,15.9,15.14918918918918,0.7508108108108207
smc_11-21-土耳其进行曲_smc,smc,56,59,39,39,5350.4,5371.9,21.5,15.14918918918918,6.35081081081082
smc_11-21-土耳其进行曲_smc,smc,57,58,44,44,5353.4,5367.8,14.4,15.14918918918918,-0.7491891891891793
smc_11-21-土耳其进行曲_smc,smc,58,57,61,61,5354.4,5366.0,11.6,15.14918918918918,-3.54918918918918
